YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.
In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.
You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Shyam Sreevalsan,1,1,Netdata,Shyam Sreevalsan.png,https://www.linkedin.com/in/shyamvalsan/,,,,Your Dashboards Are Lying to You (And How to Make Them Tell the Truth),"We’ve all been there. It’s 3 a.m., an alert just fired, and you’re staring at a dashboard. The P99 latency is spiking, but the average looks fine. The CPU is high, but the load average is normal. What’s actually going on? The hard truth is that most of our dashboards are subtle liars. They lie by averaging percentiles, hiding the real user pain. They lie with poorly chosen time windows that miss the crucial spike. They lie because we're forced to guess: is this a counter or a gauge? Can I sum this? Is a line graph even the right way to look at this? We expect every engineer on our team to also be a part-time statistician, and at 3 a.m., that’s a recipe for disaster. In this talk, I'll share stories of how misleading dashboards have sent teams down the wrong rabbit hole during critical incidents. We'll dissect the common lies and half-truths our monitoring tells us every day. Then, we'll talk about the alternative: building ""opinionated"" observability. It's about baking our expertise and best practices directly into our tools, so the right chart appears by default, the alert already has context, and the system guides you to the right questions. This isn't just about making prettier graphs. It's about giving back our most valuable resource time, and letting engineers get back to being engineers, not full-time data analysts. What you'll get from this talk: How to spot the 3 most common ways your dashboards are probably lying to you. A simple mental model for choosing the right visualization for the job (and knowing when a line graph is a terrible choice). Practical ways to start baking your team's expertise and ""tribal knowledge"" into your monitoring with smart defaults. How to argue for, or build, ""opinionated"" tools that stop wasting your team's time and lead to faster, more accurate incident response.",,"Shyam Sreevalsan builds products at the intersection of AI, observability, and open source. He leads product and strategy at Netdata, democratizing observability, one metric at a time."
,confirmed,Costa Tsaousis,1,1,Netdata,Costa Tsaousis.png,https://www.linkedin.com/in/costatsaousis/,,,,The Death of the Dashboard,"Dashboards were invented for a world without AI. They encode assumptions about human cognition, scanning, pattern recognition, correlation, that AI now handles better. This contrarian talk argues that the future of operational observability isn't better dashboards, but AI agents that render dashboards obsolete for the decisions that matter. We'll examine: The dashboard's original sin: Assumptions that worked for small systems but fail at scale What AI-native observability actually looks like: Concrete examples from production systems The transition path: Pragmatic stages from AI augmentation to dashboard sunset The human role in AI-native operations: Why this isn't about replacing humans Based on three years of building AI observability systems, including conversational interfaces that replace manual investigation and ML anomaly detection achieving 10⁻³⁶ false positive rates, this talk challenges you to reconsider whether dashboards are helping or hindering your operational excellence.",,"Costa Tsaousis is the Founder and CEO of Netdata. Since 1995, Costa has been actively working on internet-related startups. He has been a co-founder and C-level executive of many successful projects, including Internet Service Providers, Cloud Hosting Providers, and Fintech startups. With a passion for innovation and open-source, he now leads Netdata, a monitoring solution aiming to simplify and modernize infrastructure observability for all of us."
,confirmed,Leo Visser,1,1,OGD ICT-diensten,Leo Visser.png,https://www.linkedin.com/in/leo-visser-4894a8227/,,,,"No 0-day required, just target the AI coding assistant!","Do you trust your AI coding assistant? What if I told you that attackers have found ways to manipulate it and attack your code? With everyone now using AI coding assistants it’s time to look at the risks! During this talk I’ll show you several new techniques attackers are already using. This will range from hidden messages (ASCII smuggling) to abusing mistyping and characters that look the same (typosquatting). I will also show how an LLM can make mistakes when generating code (hallucinations). Did you know that a smart attacker can abuse this too? When you join this talk, you’ll learn how to spot hidden text in your instruction file and prompts. I will also explain how to set up a trusted dependency repository to prevent the malicious code from entering your production environment!",,"Active in the IT industry since 2012, Leo Visser is a Subject Matter Expert for Azure and AI Foundry at OGD. He advises organizations on AI, automation, and cloud architecture, combining tools like PowerShell, Power Platform, Azure Logic Apps, and native Azure services. His work strongly focuses on security, sustainability, and long-term value. Leo is a Microsoft PowerShell MVP."
,confirmed,Marcos Novelli Harispe,1,1,LoopStudio,Marcos Novelli Harispe.png,https://www.linkedin.com/in/marcos-novelli-harispe-a6339a129/,,,,The Cost of Ephemerality: FinOps Trade-offs for Ephemeral Environments,"Ephemeral Environments (EEs) replace long-lived shared environments with
on-demand, isolated infrastructure. They improve reliability and developer velocity,
but they also fundamentally change how infrastructure costs behave.
If every pull request spins up its own environment, costs can quickly become
unpredictable. What used to be a fixed, always-on expense turns into a dynamic
system driven by engineering activity.
In this talk, we explore the FinOps implications of adopting Ephemeral Environments
from an SRE perspective. Instead of focusing on specific tools or optimizations, we’ll
examine how teams rethink cost control when infrastructure becomes short-lived and
event-driven.
We’ll discuss the trade-offs between environment fidelity and cost, how
lifecycle-driven infrastructure changes spending patterns, and how reducing shared
environment failures can offset infrastructure growth.
This session is about understanding the cost model behind Ephemeral
Environments, and how to adopt them without losing financial control.",,"Marcos Novelli Harispe is a Fullstack Engineer and ORT University Lecturer focused on scalable AWS cloud systems. He specializes in event-driven architectures, Data Lakes, and infrastructure as code (Terraform), with extensive experience migrating production microservices to serverless. Equal parts hands-on engineer and educator, Marcos is passionate about reliability, observability, and mentoring the next generation of tech talent."
,confirmed,Niek van Raaij,1,1,Reliability Engineering Lab,Niek van Raaij.png,https://www.linkedin.com/in/niekvanraaij/,,,,Rehearse the Worst Day,"Every engineer remembers their worst incident. Mine taught me something uncomfortable: our systems were fine within the hour. It was us, the engineers, that took all night. The people scrambled.
Since then, one question keeps bugging me: why do we test everything except our own response? We chaos-test infrastructure and load-test services, but the people component remains untested.
This talk is about closing that gap through rehearsal. We look through the lens of incident simulations, and I'll share what I've learned: what breaks first in a team under pressure (communication, not competence), why your most experienced engineer can be your biggest liability, and how a team that has practiced its worst day performs when the real one arrives.",,"Niek is a tech lead at Schuberg Philis. He designs, builds, and runs mission critical infrastructure solutions and is an expert in reliability engineering. Niek’s practical, no-nonsense style and engaging delivery help technical leaders and engineers effectively navigate the complex balance between reliability, security, and delivering business value."
,confirmed,Ozlem Tanrikulu,1,1,Near East University,Ozlem Tanrikulu.png,https://www.linkedin.com/in/ozlemtanrikulu/,,,,Finding the 33% Your Kubernetes Clusters Are Wasting,"Every SRE team knows their clusters are overprovisioned. But how much exactly, and where? I kept asking this question on our EKS clusters. kubectl top gives percentages, not dollars. AWS Cost Explorer sees instances, not pods. Every tool that connects the two wanted me to deploy Helm charts, agents, and dashboards. I just wanted a number. So I built Burn — an open-source CLI that reads your kubeconfig, fetches real-time pricing from AWS and Azure APIs, and gives you per-namespace cost breakdown in 30 seconds. No agent, no dashboard, no cluster changes. Running it on production, I found 33% idle capacity ($117/month on a 5-node cluster), a pod requesting 500m CPU but using 0.12m, and debug pods nobody remembered deploying. I deleted the waste that same day. In this talk I'll cover: - How Burn splits node cost into CPU and RAM using ratio-based pricing - Why P95 metrics matter more than averages for rightsizing - How we detect Ingress-based load balancers that other tools miss - Honest trade-offs of an agentless approach vs full platforms like Kubecost Attendees will leave knowing how to identify idle resources, understand Kubernetes cost allocation math, and evaluate the right level of cost tooling for their clusters.",,"Cloud/DevOps Engineer who enjoys solving complex problems and building efficient, scalable systems. My expertise includes Kubernetes, AWS, and CI/CD pipelines, with a strong focus on automating processes to simplify developers' workflows. Additionally, I maintain a supercomputer (HPC) at NEU IBM Center, ensuring it runs at peak performance for high-demand tasks. Creator of Burn, an open-source Kubernetes FinOps CLI."
,confirmed,Ankit Asthana & Dastan Oryngali,1,1,SQUER,Ankit Asthana & Dastan Oryngali.png,https://www.linkedin.com/in/ankitasthanadevops/,https://www.linkedin.com/in/dastan-oryngali/,,,Beyond API Keys: Fine-Grained Authorization with OpenFGA,"Modern applications often outgrow simple API key or role-based access models, especially in multi-tenant and microservice environments. This talk explores how OpenFGA enables fine-grained, relationship-based authorization to model complex access patterns such as “user X can access resource Y because they belong to team Z.”
We’ll walk through real-world scenarios where traditional RBAC breaks down, demonstrate how OpenFGA implements Google Zanzibar–inspired authorization, and show how to integrate it into cloud-native platforms and APIs. Attendees will leave with practical patterns, architecture guidance, and lessons learned from implementing authorization as a standalone service in modern platform architectures.",,"*[Ankit Asthana](https://www.linkedin.com/in/ankitasthanadevops/)* is a Senior Cloud & Platform Architect Engineer at SQUER, with over 13 years of experience across AI infrastructure, DevOps, SRE, and platform engineering. He specializes in building secure, scalable cloud-native systems on Kubernetes and AWS, and works at the intersection of platform engineering and AI-driven workloads. Ankit is an active community contributor and regularly speaks at meetups on topics such as developer platforms, policy-as-code, and modern authorization systems.  *[Dastan Oryngali](https://www.linkedin.com/in/dastan-oryngali/)* is a Senior Software Developer with over eight years of experience building robust backend systems, scalable microservices, and cloud-based solutions. Throughout his career, he has driven key engineering initiatives across diverse industries, including fintech, consulting, and compliance. Specialized in Java, Spring Boot, and React, Dastan focuses on crafting high-performance architecture and seamless full-stack applications.
"
,confirmed,Caner Sahan,1,1,NCR Voyix,Caner Sahan.png,https://www.linkedin.com/in/canersahan,,,,AskPeter: Turning Production Data into Engineering Decisions,"Modern operations teams are overwhelmed by dashboards, alerts, logs, vulnerability reports, documentation, and operational data. The challenge is no longer collecting information—it's helping engineers make the right decision quickly.
In this session, I'll share the engineering journey behind AskPeter, an AI-powered engineering assistant designed to help production teams investigate incidents, understand system behaviour, analyse vulnerabilities, and retrieve operational knowledge using natural language.
Rather than replacing engineers, AskPeter acts as an engineering teammate, combining observability data, operational telemetry, documentation, and AI reasoning to reduce investigation time and improve decision-making.
I'll walk through the architecture, design decisions, challenges, security considerations, and lessons learned while introducing AI into real production engineering workflows. This isn't another AI demo—it's an honest engineering story about building AI that engineers can actually trust.",,"Caner Şahan is a Principal Solution Architect with over 15 years of experience designing enterprise platforms for retail and mission-critical operations. His work focuses on Enterprise Architecture, AI-powered Operations, Observability, DevOps transformation, and Platform Engineering.
He is the creator of AskPeter, an AI engineering assistant that combines production telemetry, operational knowledge, and enterprise data to help engineers troubleshoot complex systems more efficiently. Caner is passionate about applying AI to solve real engineering challenges while keeping reliability, security, and operational excellence at the centre of every solution."
,confirmed,Maxim Schepelin,1,1,Booking.com,Maxim Schepelin.png,https://www.linkedin.com/in/schepelin,,,,SRE concents every engineering leader should know,"What engineering leaders can learn from Site Reliability Engineering?
At first glance, SRE feels like a deeply technical concern: uptime dashboards, infrastructure capacity, on-call rotations. But core SRE concepts are deeper than they seem. Definitions of service criticality, Service-Level Indicators, Service-Level Objectives, and error budgets are not just technical speak.
These ideas can be applied far beyond production environments. This talk explores how core SRE concepts can become high-leverage leadership tools for shaping team culture, guiding prioritization, and driving meaningful business outcomes.",,"Maxim Schepelin is a solution architect at Booking.com and coauthor of Engineering Manager's Compass, a practical guide to the everyday realities of engineering leadership. Over fifteen years, he's built products used by millions of people every day—and picked up a thing or two about exiting both Vim and Emacs along the way."
