YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,Tech Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: I Was Promised a Beach: Why AI Hasn’t Taken Your Pager (Yet),"AI keeps getting sharper, faster, and more embedded in how we build and run systems. It can summarize incidents, suggest fixes, and even take action. Yet when things break at 3 a.m., the pager still lands on a human.

This keynote explores the gap between impressive AI capability and real operational trust. We will look at where agentic systems are already delivering value, where they quietly fall apart, and why reliability, context, and accountability remain hard problems. The promise of fully autonomous operations is getting closer, but we are not off the hook yet.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Sandhya Subramani,1,1,AWS,Sandhya Subramani.png,https://www.linkedin.com/in/sandhyasubramani/,,,,Towards Self-Evolving Autonomous AI Agents,"What happens when AI agents encounter tasks they cannot solve?  Most agents fail because their capabilities are fixed. This talk explores a new approach using only open-source frameworks where agents can now adapt themselves by dynamically generating and integrating new tools at runtime. We will examine the architectural mechanisms that enable this, including how new functionality is validated and incorporated safely during execution. Through a live demo, attendees will see an agent encounter a novel task, build the required capability, and complete the workflow without redeployment. Attendees will additionally gain practical engineering insights into the tradeoffs and design considerations involved in building autonomous agentic systems that evolve beyond their original design.",,"Sandhya Subramani is a Senior Developer Advocate for Generative AI at Amazon Web Services, specializing in applied AI research and production-grade machine learning systems. She previously served as a Lead Applied AI Scientist at a stealth AI startup and as a Data Scientist at Warner Bros. Discovery, where she focused on applied AI/ML research and data-driven product development. Earlier in her career, she worked as an AI Engineer at Fidelity Investments within enterprise cybersecurity. Sandhya’s expertise spans generative AI, NLP, applied machine learning research, and translating advanced AI capabilities into real-world applications."
,confirmed,Whitney Lee,1,1,Datadog,Whitney Lee.png,https://www.linkedin.com/in/whitneylee/,,,,The Best Laid Spans: An AI Agent That Instruments Your Code with OpenTelemetry,"Every team says they want better observability, but adding OpenTelemetry instrumentation is repetitive, tedious, convention-heavy work. Wah wah wahhhh, what a drag. Enter Spinybacked Orbweaver to save the day! Spinybacked Orbweaver is an AI-powered telemetry agent that can analyze your code, add the instrumentation, check its own work, and open a pull request. And it can do it consistently well, following your company's telemetry standards! This speaker built it, and she'll demo it live. Sparkles and rainbows! But here's where it gets interesting: how does the agent know if it did a good job? Two things. First, the OpenTelemetry project has a tool called Weaver that lets you define your team's telemetry standards as a machine-readable schema. Second, there's an emerging open specification called the Instrumentation Score that rates instrumentation quality on a 0-to-100 scale using standardized rules. The agent validates against both of these, plus some custom rules. When the agent fails its own checks, it gets the feedback and tries again. Generate, validate, learn, retry. You'll watch the whole thing happen against a real codebase. The agent discovers what to instrument, writes the code, gets rejected by its own quality checks, fixes its mistakes, and produces a PR. Along the way, you'll get grounded in what OpenTelemetry, Weaver, and the Instrumentation Score are, why they exist, and why good telemetry is worth caring about... but not enough to suffer the tedium of manual code instrumentation.",,"Whitney Lee is a creator and systems thinker who explores how observability, AI, and platform engineering connect across the cloud native ecosystem. She brings humor, depth, and clarity to complex technologies while building original frameworks that help others understand how systems fit together. She runs a vibrant YouTube channel, hosts Datadog Illuminated and Software Defined Interviews, has delivered two KubeCon keynotes and countless breakout talks, and combines storytelling and technical rigor to illuminate the human side of cloud native engineering."
,confirmed,Alfonso Cancellara,1,1,Red Hat,Alfonso Cancellara.png,https://www.linkedin.com/in/alfonso-cancellara/,,,,"Beyond the Hype: Navigating ""Openwashing"" and the Real Open Source AI","As AI moves from experimental pilots to production MLOps pipelines, defining what truly constitutes **""Open Source AI""** has become a critical engineering challenge. This session cuts through the hype to provide ML engineers, data scientists, and infrastructure architects with practical frameworks to evaluate model transparency, mitigate licensing risks, and navigate the complexities of deploying ""open"" foundation models. Attendees will walk away with the skills to: - **Deconstruct the AI Stack**: Understand the core differences between traditional open-source software and the AI triad. - **Evaluate True Openness**: Apply frameworks like the Open Source AI Definition (OSAID) to assess model viability for fine-tuning. - **Spot ""Openwashing""**: Identify the operational risks and licensing traps hidden behind ""open weights"" models to protect your deployment pipelines and long-term infrastructure.",,"Alfonso Cancellara is an OpenShift-focused Red Hat Technical Account Manager. Beyond his day-to-day role, he's a passionate Open Source advocate and a speaker at conferences and industry events, exploring how Open Source Software fuels innovation."
,confirmed,Nilima Rodrigues,1,1,Align Technology,Nilima Rodrigues.png,https://www.linkedin.com/in/nilima-rodrigues-83173a10/,,,,"LLMs and Data in MedTech: Building Smarter, Safer Healthcare","The medical technology sector is undergoing a paradigm shift powered by clinical, operational, and real-world data—and increasingly, by large language models (LLMs). At LLMday Austin, this session explores how data and AI are reshaping MedTech innovation, operational excellence, and personalized care at scale. From device development to clinical deployment, mining EHRs, claims data, and registries reveals unmet needs and enables measurable patient impact. LLMs enhance this process by extracting insights from unstructured clinical notes, regulatory documents, and post-market surveillance data—accelerating research, improving documentation, and supporting compliance. Computational modeling and digital twins reduce time-to-market and manufacturing waste, while analytics-driven usability improvements reduce device error rates. In clinical settings, real-time monitoring systems—such as closed-loop insulin platforms—integrate multimodal data to improve chronic disease outcomes. AI imaging systems now match specialist-level performance in areas like diabetic retinopathy detection, while predictive analytics such as sepsis forecasting enable earlier interventions. Operational excellence is achieved through predictive quality, AI-driven supply chain forecasting, condition-based maintenance, and capacity optimization. Strong governance frameworks—including FHIR, TEFCA, and SNOMED CT—ensure interoperability, while privacy-by-design, federated learning, SBOMs, and secure development lifecycles safeguard sensitive health data. By combining LLM capabilities with robust data governance, MedTech organizations can deliver smarter, safer, and more sustainable healthcare systems. This session provides a practical, data-driven roadmap grounded in real-world outcomes.",,"Nilima Rodrigues is a seasoned data engineering and analytics leader with over 19 years of experience delivering transformative data strategies for Fortune 500 organizations. As Senior Manager of Systems and Reporting at Align Technology, she drives high-impact initiatives across data, finance, and technology, generating multimillion-dollar efficiencies across global operations. Nilima specializes in architecting enterprise-grade data platforms, leading cross-functional teams, and converting complex data into actionable insights that shape business strategy. She successfully delivered a $1.5M+ SAP Datasphere and OneStream integration, optimized AI-driven ETL pipelines to reduce latency by 40%, and designed a FinOps platform that achieved $500K in freight savings. Her automation and resource optimization initiatives have improved operational efficiency by 65% and reduced costs by 50%. At Align, she founded the Finance Analytics Center of Excellence and launched 100+ interactive Power BI dashboards across global business units. She has led data governance, compliance, large-scale migrations, and financial transformation programs. Previously at Deloitte and Capgemini, she delivered landmark implementations, including the first SAP ERP-based Public Sector Collection platform for the Florida Department of Revenue and the first SAP Bank Analyzer integration at PayPal. Nilima holds a Bachelor’s in Information Technology from Mumbai and certifications in Google Advanced Data Analytics and SAP BTP Datasphere. She brings deep expertise in SAP BW/HANA, Azure Data Lake, Power BI, Python, and AI-driven analytics, combining technical excellence with strategic leadership."
,confirmed,Ankit Talwar,1,1,Dell Technologies,Ankit Talwar.png,https://www.linkedin.com/in/ankittalwar/,,,,Production AI at Enterprise Scale: Lessons from Two Fortune 50 Deployments,"Most enterprise AI never makes it past the pilot phase. The systems that do survive production at Fortune 50 scale — across hundreds of thousands of daily transactions, thousands of human operators, and dozens of countries — share architectural patterns that aren’t obvious at the demo stage. This talk distills those patterns from two production AI programs built and deployed over the past decade: a digital supply-chain transformation platform supporting 220,000 orders per day across 392,000 SKUs, documented as MIT Sloan / Ivey case study W24797 (a Harvard Business Publishing bestseller, taught at MIT, Rutgers, NUS, and IE Business School); and STRIDE, a closed-loop AI service architecture supporting customer support organization, recognized with the 2025 TSIA STAR Award for Innovation in Analytics and AI for Service Excellence. Both programs faced the same failure modes that LLM teams hit today: hallucinated outputs, brittle integration boundaries, runaway cost curves, and slow learning loops. Both succeeded by converging on the same underlying architecture — continuous telemetry feeding decision engines feeding learning loops, with humans gating the boundaries rather than sitting in the critical path. The talk walks through the architectural decisions that determined whether each system shipped or stalled, including build-vs-buy under vendor immaturity, phased rollout under quality risk, and tiered automation under fraud exposure. ",,"Ankit Talwar is Director of Product Management for AI at Dell Technologies and a Distinguished Fellow of the Soft Computing Research Society (SCRS). He led the product strategy for the digital supply chain transformation documented by researchers at the Massachusetts Institute of Technology (MIT Digital Supply Chain case study, “Dell: Roadmap of a Digital Supply Chain Transformation,” Case No. W24797), and directed the STRIDE service AI ecosystem recognized with the 2025 TSIA STAR Award for Innovation in Analytics and AI for Service Excellence. His work synthesizes patterns from these programs across eight years (2017–2025). Mr. Talwar serves as a judge for MIT Hack-Nation’s Global AI Hackathon (three consecutive editions and the Venture Lab) and as a proposal reviewer for Manning Publications on agentic AI titles."
,confirmed,Michael Forrester,1,1,KodeKloud,Michael Forrester.png,https://www.linkedin.com/in/michaelrishiforrester/,,,,Your MLOps Pipeline is your Agentic AI Guardrail,"In 2025 I gave an AI agent cluster-level permissions and walked away. Forty minutes later I had no cluster. The agent didn't hallucinate. It didn't go rogue. It force-refreshed etcd, then while trying to fix that, wiped the netplan configuration on every Linux node in the cluster. One bad decision made things worse. No gate stopped it anywhere in the chain. The instinct after an incident like that is to put humans back in the loop. That's the wrong lesson. The whole point of agentic AI is autonomous operation at machine speed. Slowing it down with manual approval gates defeats the purpose. The right fix is deterministic programmatic gates that let the agent move fast within a defined safe boundary. Most operations should never require a human. A deletion that meets the right criteria gets approved automatically. A deletion that doesn't gets blocked automatically. The safety guarantee comes from the gate logic, not from someone watching the terminal. This talk walks through the full failure chain and the Eight Guardrails Framework that came out of it: three enforcement layers spanning Claude Code pre-tool-use hooks, Git hooks, and Kubernetes infrastructure controls. These are not probabilistic guardrails. They are deterministic checks that fire before execution, enforce IaC-only infrastructure changes, apply least privilege so a dev-context agent can't reach control plane nodes, and trigger automated rollback when something goes wrong. The agent operates autonomously inside that boundary. Outside it, the pipeline stops it cold. The core principle: don't use probabilistic AI to enforce deterministic requirements. Build the gates programmatically, test them the same way you test your code, and let the agent run. Attendees will leave with the exact failure chain mapped to the gate that would have stopped it, the Eight Guardrails applied to concrete controls across their pipeline, and a gap checklist to find where their own setup lets agents operate outside a safe boundary.",,"Principal Training Architect with 30 years of infrastructure experience across federal, Fortune 50, and startup environments. Has personally taught over 100,000 engineers platform engineering and AI/ML infrastructure. Workshop ranked third most-selected at KCD Texas 2026. Speaker at KubeCon EU Cloud Native University and KubeAuto AI Day Europe, Amsterdam. The cluster deletion incident described in this talk actually happened."
,confirmed,Varun Joshi,1,1,AWS,Varun Joshi.png,https://www.linkedin.com/in/varun-joshi-1b165685/,,,,Why Most LLM Systems Fail in Production and How to Fix Them,"Large language models have moved rapidly from experimentation to production, yet many real world systems fail to deliver reliable outcomes. From hallucinations and inconsistent responses to latency spikes and escalating costs, the gap between demo and production remains significant. This talk explores why most LLM systems break in production and how to design them differently. Drawing from hands on experience building large scale user facing systems, the session highlights common failure modes and the architectural decisions that address them. We will dive into practical patterns such as retrieval augmented generation (RAG), prompt orchestration, evaluation pipelines, and cost aware design. The talk will also cover real trade offs such as accuracy versus latency, flexibility versus control, and innovation versus reliability. Attendees will leave with a clear framework for building LLM systems that are not just impressive in demos but dependable in production.",,"**[Varun Joshi](https://www.linkedin.com/in/varun-joshi-1b165685/)** is a Senior Data Engineer at Amazon Web Services (AWS) based in the Greater Seattle Area, with over 12 years of experience in data integration, data modeling, optimization, and engineering. He is an alumnus of the University of South Florida and has built a strong professional network with 4,500+ followers on LinkedIn."
,confirmed,Jim Markunas,1,1,The Austin Consulting Group,Jim Markunas.png,https://www.linkedin.com/in/jimmarkunas,,,,From Copilots to Agents: Designing LLM Workflows for Real Organizations,"LLMs are useful as copilots, but the real shift begins when they coordinate work across people, systems, and decisions. This talk shows how organizations design agentic workflows with guardrails, escalation paths, and real operational value.",,"Jim Markunas is a Senior Technical Program and Project Manager and Technical Product Owner who specializes in helping enterprise teams deliver reliable eCommerce and SDLC releases. With experience at organizations like DIRECTV, CPS Energy, and New York Life, he leads complex platform modernization and integration initiatives, bringing structure and clarity to teams facing delivery challenges. Known for his data-driven approach, he focuses on restoring stakeholder confidence and ensuring predictable, high-quality product launches."
,confirmed,Sivakumar Selvaraj,1,1,Caesars Entertainment,Sivakumar Selvaraj.png,https://www.linkedin.com/in/sivakumar-selvaraj-989052126/,,,,AML Detection using Agentic AI,"Anti-money laundering systems often fail due to static rules that cannot reason across complex contexts, leading to high false-positive rates. This talk presents a five-stage agentic AI pipeline where specialized LLM agents handle graph traversal, typology matching, narrative reasoning, and automated SAR drafting. In a 30-day production evaluation, this system achieved 94.2% precision, reduced false positives to 2.1%, and cut SAR filing time to under two minutes.",,"Sivakumar Selvaraj is a Senior Manager and Data Engineering Lead with over 16 years of experience building and scaling cloud-based data platforms. He specializes in AI-driven data solutions, machine learning pipelines, and real-time data processing using technologies like Snowflake, AWS, Azure, and Spark. Currently at Caesars Entertainment, he leads initiatives across data engineering and AI, partnering with business and technical teams to deliver scalable, high-impact data systems. He holds a Master’s degree in Computer Science (Big Data Systems) from Arizona State University and is AWS Certified in AI."
