YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Registration & Networking,1,1,,,,,,,Registration & Networking,,,
,keynote,Deep Prajwalan (Lighting of the Lamp) & Opening Note – SREday / SREHyderabadi,1,1,,,,,,,Deep Prajwalan (Lighting of the Lamp),,,
,keynote,"Vinita Jacob, Vishnupriya Raghavan, Jyothsna Kuchimanchi & Nagarjun Malladi",1,1,"Optum, NIIT Ltd, UnitedHealth Group, Tech Mahindra","Vinita Jacob, Vishnupriya Raghavan, Jyothsna Kuchimanchi & Nagarjun Malladi.png",,,,,"Leadership Panel Conversation: Building Resilient Ecosystems: Global Scale, Platform Culture, and the Future SRE Workforce","A comprehensive look at the reliability landscape from four critical vantage points: the Fortune enterprise, the platform builder, the service integrator, and the academic trainer. This conversation dives into the human element of SRE—how to foster a culture of reliability, bridge the gap between building cutting-edge infrastructure at a massive scale, and nurture the mindset required to sustain it.",,"**[Vinita Jacob](https://www.linkedin.com/in/vinita-jacob-37840272/)** is a senior technology leader with more than two decades of experience leading cloud engineering, site reliability engineering, infrastructure operations, and digital transformation initiatives. Currently Senior Director of Cloud Engineering at Optum, she has built and scaled high-performing engineering organizations, with deep expertise in cloud adoption, DevOps, AIOps, and enterprise operations. Prior to Optum, she spent over 20 years at Verizon leading large-scale SRE and cloud transformation programs.  

**[Vishnupriya Raghavan](https://www.linkedin.com/in/vishnupriyaraghavan/)** is Senior Vice President and Business Head of Enterprise IT Business at NIIT StackRoute. With a career spanning enterprise education, consulting, research, and workforce transformation, she specializes in helping organizations build future-ready talent and technology capabilities. She combines leadership experience across industry and academia with expertise in enterprise transformation, strategic leadership, and AI-enabled workforce development, and is also a published researcher in artificial intelligence and emerging technologies.   

**[Jyothsna Kuchimanchi](https://www.linkedin.com/in/jyothsna-kuchimanchi/)** is a global technology executive with nearly three decades of experience driving enterprise transformation, platform engineering, digital innovation, and AI adoption. As Senior Director at UnitedHealth Group, she leads large-scale platform modernization and AI-driven initiatives across healthcare. Her career spans leadership roles across Asia Pacific, Europe, and the United States, with a strong focus on building global engineering organizations, customer experience transformation, data strategy, and technology-led business growth.  

**[Nagarjun Malladi](http://linkedin.com/in/nagarjun-malladi-492ab4126/)** is an AI and technology leader with more than 28 years of experience delivering large-scale enterprise solutions and driving innovation across global IT services organizations. At Tech Mahindra, he leads AI capability development and has held senior delivery leadership roles overseeing complex programs across multiple industries. A strong advocate for industry-academia collaboration, he is also a keynote speaker and board member focused on advancing technology talent, AI adoption, and enterprise transformation.  
"
,keynote,Pankaj Jathar,1,1,NIIT Ltd.,Pankaj Jathar.png,https://www.linkedin.com/in/pankajjathar/,,,,Keynote Speech by the Chief Guest,,,
,keynote,Vinay Gattu,1,1,Optum,Vinay Gattu.png,https://www.linkedin.com/in/vinayga2/,,,,From Assist to Autonomous: Codifying SRE Expertise into Shareable AI Companions,"For years, site reliability engineering has struggled with the friction of operational toil and the challenge of disseminating institutional knowledge across siloed teams. This session explores a transformative shift from reactive, manual practices to a proactive era driven by specialized, shareable AI agents. We will examine real-world problem statements to demonstrate how Utility, Support, and Platform Lifecycle Management (PLM) agents can left-shift observability and absorb heavy operational burdens. As we launch SRE Day Hyderabad, this talk serves as a blueprint for building and sharing intelligent agents. You will learn how to codify complex SRE patterns, scale your team's collective expertise, and join a new wave of ""Agentic SRE"" practitioners. Join us to move beyond the toil and learn how to automate the foundation of your reliability strategy—making operations smarter, faster, and truly scalable.",,"Sr. Principal SRE & Director at Fortune 3 Company with ~20 years of experience. Founder of SRE@Hyderabadi. I believe SRE isn't just about uptime—it's about culture. My mission is to simplify the complex and elevate the human, blending the chaotic beauty of Hyderabad with the structured discipline of Reliability Engineering to create a unique ecosystem for builders."
,confirmed,Atulpriya Sharma,1,1,Improving,Atulpriya Sharma.png,https://www.linkedin.com/in/atulpriyasharma/,,,,Why Your Developer Platform Is Making Your SRE's Life Harder,"A developer deploys a service in five minutes. The platform team celebrates another adoption win. Three weeks later, the service degrades in production. The SRE on call has no idea who owns it, what healthy looks like, or why the alerts aren't useful. The platform worked. The deployment succeeded. The SRE is still doing archaeology instead of debugging. Developer platforms reduce friction for developers — golden paths, self-service workflows, automated deployments. All stop at deployment. Ownership, SLOs, meaningful alert thresholds — none are required outputs. So they don't exist when someone needs them most. With AI-assisted development, this gap is getting worse. More services ship faster, with less tribal knowledge baked in. The developer who wrote it may not fully understand it. The SRE inheriting it definitely doesn't. The fix isn't better tooling or more runbooks. It starts at the platform — treating operational context as a required output of every deployment, not an optional annotation added later. Attendees leave with a concrete view of what that looks like, and a starting point for closing the gap between developer experience and operator experience in their own platform.",,"Known across the cloud-native community as Maharaj, I make complex technology accessible - from KubeCon stages to community meetups to client boardrooms. What started as a manual QA engineering career over a decade ago has evolved into leading developer relations at scale as a Principal Developer Advocate. I combine engineering depth with narrative instinct - debugging a Kubernetes operator in the morning and crafting a developer content strategy by afternoon."
,confirmed,Chakravarthy Komaravolu,1,1,Tech Mahindra,Chakravarthy Komaravolu.png,https://www.linkedin.com/in/chakravarthy-komaravolu-115a9313/,,,,Addressing the gaps between theoretical promises vs practical outcomes of SRE practice,"Addressing the gap between Site Reliability Engineering (SRE) theory and practical outcomes is highly critical. It directly determines whether SRE acts as an engine for velocity and resilience or decays into a glorified ""ops team"". Failing to address this divide leads to rampant team burnout, ballooning technical debt, and misaligned business goals.",,"Chakravarthy (Chakri) is a seasoned technology leader with 27 years of extensive experience in the IT industry, spanning project delivery, product engineering, technology solutions, and large-scale practice development."
,confirmed,Sathpal Singh,1,1,UBS,Sathpal Singh.png,https://www.linkedin.com/in/sathpalsingh/,,,,SENTINEL - Autonomous Multi-Agent SRE Brain for Kubernetes Incident Diagnosis & Human-Gated Remediation,"PROBLEM On-call SREs drown in alerts. A single Kubernetes incident throws signals across pods, app runtimes, dependencies (Kafka/Redis/DB), traces, recent deploys and history and a human has to correlate all of it under pressure, while most pages are noise. Single-LLM ""AIOps"" tools hallucinate confident root causes from one slice of data and erode trust. SENTINEL SENTINEL is an autonomous, multi-agent SRE brain that reasons about production incidents the way a senior on-call engineer does but in parallel and with discipline. A fleet of SEVEN specialist agents each independently investigates ONLY its own data slice and votes on the failure signatures it can justify: • Kubernetes (pods, OOMKills, CrashLoops, scheduling, probes) • App Runtime (logs, JVM/Go/Node runtime errors) • Dependency (Kafka lag, Redis/DB saturation, downstream APIs) • Observability (golden signals, SLO burn, traces) • Change Correlation (""what changed right before this started?"") • Runbook (matches vetted procedures) • Historical Memory (recurrence of past incidents) THE MULTI-SIGNAL RULE (the core reasoning idea) An Evidence Correlation Engine confirms a signature ONLY when ≥2 INDEPENDENT telemetry agents agree on it. One agent shouting is noise; two independent agents agreeing is signal worth paging a human for. This single rule is what makes the system trustworthy and kills false positives every confirmed cause carries its corroboration count and the agents that voted. It then ranks root-cause hypotheses with a precise confidence qualifier (confirmed / most-likely / possible / needs-more-evidence), proposes remediations pulled ONLY from a vetted knowledge base (never free-form), risk-classifies them, and forces human approval for anything medium-risk or above. The agent proposes; the human disposes. SENTINEL never auto-closes or runs high-risk changes alone. MICROSOFT IQ - FOUNDRY IQ Foundry IQ is SENTINEL's knowledge & grounding layer. The Historical Memory and Runbook agents ground their reasoning through Foundry IQ's agentic retrieval over the organization's incident history, runbooks and service docs, so diagnoses are grounded in what THIS org has actually seen and fixed, not generic web knowledge. Every resolved incident is written back, so the system compounds institutional knowledge: the next similar incident is recognized instantly. HOW IT'S BUILT (real, running system not a mock) • A distributed microservices system: a gateway, an orchestrator that runs the diagnostic saga, a 7-agent fan-out over a Redis Streams event bus (one consumer group per role), and a stateful memory tier deployable as a right-sized 14-container stack or a full per-stage split. • Full OpenTelemetry instrumentation across every service → an LGTM stack (Tempo/Loki/Prometheus/ Grafana). Trace context propagates across the async bus, so one /analyze is a single connected distributed trace; per-agent latency, anomalies and corroboration are live Grafana metrics. • Event-driven ingestion: point Alertmanager or a Kubernetes event stream at it and the fleet auto-triages, debounced against flapping. • A live ""mission-control"" UI: a real incident lights up each component of the pipeline as it executes every stage activates, stays lit, shows its real findings, and is clickable for a full drill-down (agent evidence, the correlation table, the verdict, the gated remediations, or the failure error). An interactive knowledge graph of services, dependencies, teams and incidents. A system-architecture view of how it all connects.",,"A Multi Cloud, AI & Observability Architect specializing in cloud-native observability solutions with a deep understanding of distributed systems and modern DevOps practices. Key contributions in automating infrastructure operations, improving self-service workflows for developers, extending platform functionalities and accelerating software delivery velocity through effective toolchain and workflow enhancements."
,confirmed,Sagar Utekar,1,1,CrowdStrike,Sagar Utekar.png,https://www.linkedin.com/in/sagar-utekar/,,,,Governing and Securing AI Agents: Production-Grade LLM Observability at Scale,"Scaling AI agents in production without strict observability is a recipe for runaway costs, unpredictable behaviour, and compliance nightmares. Moving from AI experimentation to a governed, production-grade enterprise platform requires a robust foundation. In this session, we will explore the essential observability journey for standardising and governing AI agents, even in highly regulated environments. We’ll discuss how to leverage tools like Datadog’s LLM Observability from day one to track token usage, monitor agent behaviour, enforce guardrails, and debug production issues in real time. You’ll walk away with a practical framework to build, monitor, and scale AI agent programs safely, securely, and cost-effectively, drawing on proven industry patterns that manage dozens of live applications and drive millions in value.",,"Sagar Utekar is a Site Reliability Engineer at CrowdStrike, Docker Captain, CNCF Ambassador, and Kubernetes community leader with deep expertise in cloud infrastructure, observability, platform engineering, and DevOps. A former VMware SRE, he is an active open source contributor, CNCF project maintainer, educator, and content creator who helps engineers build practical skills across Kubernetes, cloud, and reliability engineering.  
"
,confirmed,Rajani Ekunde,1,1,Okta,Rajani Ekunde.png,https://www.linkedin.com/in/rajani103/,,,,From Chaos to Control: Guardrails for AI-Driven SRE Systems with Google Cloud,"Debugging containerized applications often requires intrusive access, restarts, or adding instrumentation—impacting production systems. In this talk, I’ll demonstrate how eBPF enables deep, real-time visibility into Docker workloads without modifying containers or code. We’ll explore how to trace system calls, monitor network activity, and diagnose performance issues directly from the host. Through practical scenarios, you’ll learn how SREs can debug faster, reduce downtime, and gain production-level insights without disrupting running services.",,"Rajani is a DevOps and Site Reliability Engineer (SRE) with over 4 years of experience in cloud infrastructure, automation, and platform engineering. She is a Google Developer Expert (GDE) for Google Cloud, a Docker Captain, and a Women Techmakers (WTM) Ambassador, actively contributing to the global tech community. Rajani is a frequent speaker at major cloud and DevOps conferences, where she shares practical insights on modern infrastructure and emerging technologies. Passionate about knowledge sharing, Rajani aims to inspire and empower developers to build scalable, reliable systems."
