,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.
In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.
You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,Keynote: AI Needs a New Data Platform,"AI agents generate thousands of investigations in parallel, changing the economics of storage and compute. Discover why security and observability platforms are evolving toward open storage, elastic compute, and decoupled architectures.",,"Peter Marshall is an award-winning speaker, technology leader, and community builder with 25 years' experience in data architecture and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage global communities through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings technical expertise and strategic vision to help organizations leverage real-time data and observability technologies. He holds a BA in Theology and Computer Studies from the University of Birmingham"
,keynote,Rob Reid,1,1,Cockroach Labs,Rob Reid.png,https://www.linkedin.com/in/rob-reid/,,,,Keynote: On-Call for Things You Did Not Provision,"Self-service infrastructure makes it easy for humans and agents to provision databases without involving SRE or platform teams. But when things go sideways, those same teams can find themselves on-call for infrastructure they didn’t provision.
This session explores how teams can maintain resilience as database estates grow, and how an agentic operations layer can reduce the operational burden by continuously observing infrastructure, and recommending remediations and optimizations across the estate. It looks at how teams can move from scaling incident response with database count to policy-based operations, where agents and humans work together, with humans governing what actually executes.",,"Rob Reid is a Technical Evangelist at Cockroach Labs and an experienced software engineer with a background spanning backend, frontend, messaging, and distributed systems. He is the author of *Practical CockroachDB* and has also written books on CockroachDB and multi-region application architecture."
,keynote,Harness Keynote,1,1,Harness,,,,,,Harness Keynote,,,
,keynote,Teleport Keynote,1,1,Teleport,,,,,,Teleport Keynote,,,
,confirmed,Roman Sorocan,1,1,DataArt,Roman Sorocan.png,https://www.linkedin.com/in/romansorocan/,,,,"Caught in the Crossfire: SREs, Shadow AI, and the AI CoE","Every modern enterprise is rushing to capture AI ROI, yet the vast majority of deployments stall out due to a silent internal crisis: accelerating Shadow AI, fragmented data governance, and intense security anxieties. SREs and platform architects are routinely caught in the crossfire—tasked with scaling intelligent systems while defending highly complex, distributed data boundaries. The root cause isn't the technology; it’s a structural vacuum. Most organizations are completely missing a centralized AI Center of Excellence (CoE) to steer the ship. This talk delivers a highly practical executive framework built directly on top of Google Cloud Professional Services Organization (PSO) battle-proven practices. Moving far beyond the AI hype, the session will unpack how to balance Technology, People, and Processes to transition your enterprise from fragmented, high-risk operational pockets into a secure, transformational powerhouse.",,"Roman Sorocan is the Global Head of Google Cloud at DataArt, where he leads the global scaling of cloud practices across the finance, healthcare, retail, and travel sectors. A dedicated futurist and strategic consultant, Roman empowers enterprises to navigate disruptive technological change through applied AI, robust cloud solutions, and future-of-work strategies. His career includes over six years at Google, as well as serving as Director of Google Cloud at Searce. Roman is also an active Angel Investor focused on autonomous AI infrastructure layers. Aligned with Google Cloud’s battle-proven adoption frameworks , Roman combines deep enterprise technical architecture with a core ""People First"" philosophy to help organizations deliver AI with real, sustainable ROI."
,confirmed,Adriana Villela & Kasper Borg Nissen,1,1,Dynatrace & Dash0,Adriana Villela & Kasper Borg Nissen.png,https://www.linkedin.com/in/adrianavillela/,https://www.linkedin.com/in/kaspernissen/,,,Your Agent Did What? Forensic Observability for Systems That Don’t Leave Obvious Footprints,"The GenAI observability space is fragmented right now. OpenInference, OpenLLMetry, framework-specific conventions are all solving the same problems with incompatible attribute names. That made sense when OTel’s GenAI support was thin. It makes less sense today.
OTel is where this converges. Getting there from where most teams actually are isn’t obvious. Kasper and Adriana cover the current landscape, how the genainormalizer processor bridges the gap at the collector layer, and what a realistic path to OTel-native GenAI observability looks like.
Then the harder question: your agent just deleted a database. What does your telemetry actually tell you? Non-deterministic systems don’t leave obvious footprints, and most teams discover that at the worst possible time.",,"**[Adriana Villela](https://www.linkedin.com/in/adrianavillela/)** is a Principal Developer Advocate at Dynatrace, where she focuses on cloud native technologies, observability, and helping developers build and operate reliable systems at scale. She is a CNCF Ambassador and a maintainer for the OpenTelemetry End User SIG, actively contributing to the open source ecosystem and community education. In addition to her advocacy work, Adriana hosts the Geeking Out Podcast, where she explores technical topics and career stories with practitioners across the industry. She also writes regularly on her personal Medium blog, sharing practical insights drawn from hands-on experience. Based in Toronto, she works remotely and remains deeply engaged with global developer communities.
**[Kasper Borg Nissen](https://www.linkedin.com/in/kaspernissen/)** is Director of Product Marketing & Developer Relations at Dash0, CNCF Ambassador, and Co-Chair of KubeCon + CloudNativeCon Europe and North America. A long-time cloud native community leader, he co-founded Cloud Native Nordics, organizes Kubernetes Community Days Denmark, and is a frequent international speaker on observability, platform engineering, open source, and cloud native technologies."
,confirmed,Costa Tsaousis,1,1,Netdata,Costa Tsaousis.png,https://www.linkedin.com/in/costatsaousis/,,,,Agentic Observability | The Path to AI Co-SRE,"Observability is undergoing its biggest transformation since the invention of distributed tracing. We're moving from passive dashboards that humans must interpret toward autonomous AI agents that diagnose, recommend, and eventually remediate. This talk traces the architectural patterns and ML foundations enabling this evolution. Drawing from three years of building production AI observability systems, including an 18-model consensus engine achieving 10⁻³⁶ theoretical false positive rate and a composable agent framework powering 22 specialized troubleshooting agents, we'll explore: Why consensus-based ML beats threshold alerting: The mathematical case for 18-model ensembles in production Multi-agent orchestration patterns: When to use advisors, routers, and handoffs for complex troubleshooting The road to AI Co-SRE: What's achievable today versus what's coming in 2026-2027 Practical implementation: Avoiding the pitfalls that derail most AI observability projects You'll leave with a framework for evaluating AI observability tools and a realistic assessment of where the technology stands today.",,"Costa Tsaousis is the Founder and CEO of Netdata. Since 1995, Costa has been actively working on internet-related startups. He has been a co-founder and C-level executive of many successful projects, including Internet Service Providers, Cloud Hosting Providers, and Fintech startups. With a passion for innovation and open-source, he now leads Netdata, a monitoring solution aiming to simplify and modernize infrastructure observability for all of us."
,confirmed,Ricard Bejarano & Josep Medialdea,1,1,Cisco,Ricard Bejarano & Josep Medialdea.png,https://www.linkedin.com/in/ricardbejarano,https://www.linkedin.com/in/josepmedialdea/,,,Safe Terraform auto-apply with conftest,"At scale, human review of Terraform plans stops being a safety mechanism and starts being a bottleneck. Today's instinct is to delegate to AI, but AI review breaks compliance requirements, can miss edge cases, and removes human accountability from a pipeline where accountability matters. This talk is about a third path: evaluating Terraform plans programatically and deterministically using conftest. Policy-as-code that you can reason about, version, test, and trust, not because a model said so, but because the rules are explicit and the outcome is reproducible. As AI-generated infrastructure changes become routine, safe auto-apply isn't a nice-to-have, it's the next thing you need to build into your infrastructure pipeline.",,"Ricard is a Lead Site Reliability Engineer at Cisco ThousandEyes' SRE team. He is responsible for a Terraform pipeline with 500+ developers, over 140k resources under management, and multiple thousands of plans a day. Ricard is currently writing a book about homelabbing, so go talk to him if you have a homelab!"
,confirmed,Marcos Novelli Harispe,1,1,LoopStudio,Marcos Novelli Harispe.png,https://www.linkedin.com/in/marcos-novelli-harispe-a6339a129/,,,,Ephemeral Environments in the Real World: Handling State and Complex Architectures,"Ephemeral Environments (EEs) can dramatically improve reliability: they help prevent
issues from reaching production, reduce shared environment failures, and enable
safer debugging when incidents happen.
But what happens when we want to incorporate this strategy on complex
architectures? At that point, interesting challenges start to appear: stateful systems
and databases, long environment startup times, multiple dependent services,
different use cases (PR validation vs release-level testing), and so on.
In this talk, we’ll explore how EEs behave outside the happy path. We’ll look at real
architectural trade-offs and patterns, including hybrid approaches where ephemeral
services interact with controlled data layers.
Rather than presenting a perfect solution, this session focuses on the decisions and
compromises required to adopt EEs beyond simple use cases.",,"Marcos Novelli Harispe is a Fullstack Engineer and ORT University Lecturer focused on scalable AWS cloud systems. He specializes in event-driven architectures, Data Lakes, and infrastructure as code (Terraform), with extensive experience migrating production microservices to serverless. Equal parts hands-on engineer and educator, Marcos is passionate about reliability, observability, and mentoring the next generation of tech talent."
