YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Bart Czernicki,1,1,Microsoft,Bart Czernicki.png,https://www.linkedin.com/in/bartczernicki/ ,,,,Keynote: Decision Intelligence under Uncertainty with Generative AI,"Decision making is one of the most sought after skills by executives. With the advent of Generative AI, decision making can be optimized to unlock the full potential of human judgement. This hands-on lab introduces the theory of Decision Intelligence with Generative AI (frame decisions, surface assumptions, evaluate decision quality under uncertainty), then applies GenAI as a structured reasoning process. You will practice many advanced Decision Intelligence GenAI techniques.",,"Bart Czernicki is a technology leader, executive advisor, and author specializing in cloud, AI, machine intelligence, and decision intelligence. He currently serves as Principal Technical Director and Global Black Belt for Artificial Intelligence at Microsoft, working with strategic customers on generative AI and machine learning transformation initiatives. With more than 25 years in technology and 18 years focused on AI and machine intelligence, Bart combines deep technical expertise with business strategy and enterprise-scale delivery. He is also an author, startup advisor, and active contributor to the global AI community."
,confirmed,Maciej Szymkowski,1,1,Future Processing,Maciej Szymkowski.png,https://www.linkedin.com/in/maciej-szymkowski-ph-d-75481a228/,,,,Everybody lies but data doesn't: the rise of Dr AI-House,"“Don't worry, most of you could be cured by a monkey with an aspirin” - Dr. Gregory House’s legendary cynicism used to target patient incompetence, but in 2026, it’s time to ask: should that monkey be replaced by an AI agent? In this session, we dive deep into the deployment of AI and classical ML across the biomedical and medical pipelines. We’ll skip the hype and look at the architectures. In Computer Vision we will check why RF-DETR is consistently outperforming YOLO in liver MRI and CT segmentation and detection of pathological changes. On the other hand, we will also consider Clinical NLP case where we leverage LLMs (Gemini, GPT, Bielik and Qwen) equipped with custom inference logic to parse patient interviews. We will also take a deeper look at drug discovery. We will observe how utilizing a multi-modal stack of VLMs and Vision models can accelerate the R&D lifecycle in that area. The presentation will be concluded by answering the ultimate question: Has the ""Silicon Dr House"" already arrived, or are we still just hallucinating the cure?",,"Maciej Szymkowski holds a PhD in Computer Science. Since April 2025, he has been working at Future Processing as a Senior Machine Learning Engineer. Previously, he was affiliated with Bialystok University of Technology (Faculty of Computer Science, 2018–2026), Warsaw University of Technology (Faculty of Electronics and Information Technology, 2021–2022), and AGH University of Science and Technology in Cracow (Faculty of Physics and Applied Computer Science, 2021–2022).
He has also gained experience as a researcher on diverse projects and as a software developer and engineer in multiple companies, including SoftServe, Symmetra, Transition Technologies, and Hemolens Diagnostics. From 2022 to 2024, he worked at the Łukasiewicz Research Network, Poznan Institute of Technology, where he served as Head of the AI Development section.
Maciej Szymkowski is the author or co author of more than 45 research papers published in JCR journals, book chapters, and international conference proceedings. His primary research interests lie in computer vision, particularly in medicine and transport, as well as Vision Language Models, Large Language Models, and machine learning algorithms.
In his free time, he enjoys expanding his knowledge, taking long walks, reading books, and watching soccer, basketball, and hockey. He is a fan of Legia Warsaw, Real Madrid, the New York Knicks, and the Pittsburgh Penguins."
,confirmed,Sonali Priya,1,1,LB Networks,Sonali Priya.png,https://linkedin.com/in/priyasonali,,,,Human-in-the-Loop UI Design for Generative AI Systems,"Generative AI and large language models are rapidly transforming how enterprise user interfaces are conceived, prototyped, and refined. While these systems accelerate exploration and automate repetitive design tasks, they also introduce new challenges in preserving human judgment, design intent, and organizational brand consistency. This session examines emerging human-in-the-loop frameworks that position LLMs as collaborators rather than replacements for expert designers. Drawing on real-world enterprise UX patterns, the talk outlines how AI-generated outputs can be systematically evaluated to maintain usability, accessibility, and human-centered design principles. It highlights approaches to ensuring that generative variations remain aligned with brand guidelines, interaction models, and product standards—especially in regulated or high-stakes environments. The session further explores workflow models for integrating generative AI into UI design processes, including collaborative review loops, intent-preserving prompt strategies, and safeguards against drift in accessibility or experience coherence. By comparing the strengths of human intuition with the scale and speed of LLM-driven systems, attendees will gain clarity on where AI meaningfully accelerates design iteration—and where human oversight remains essential.",,"Sonali Priya is a Creative Design Director based in St. Louis, Missouri, specializing in building purposeful, scalable, and inclusive digital experiences at the intersection of design, development, and systems thinking. With over eight years of experience in product design and full-stack engineering, she has led multidisciplinary teams to deliver accessible, high-performance solutions for enterprise clients worldwide. Currently leading design at LB Networks, a global provider of network monitoring and optimization tools, Sonali drives platform-wide design initiatives, collaborates with stakeholders, and mentors cross-functional teams. She architects and evolves design systems to ensure consistency, accessibility, and scalability across products. Her career progression from Software Developer to Software Team Lead to Creative Design Director enables her to bridge technical depth with design strategy. She has led modernization efforts, improved engineering workflows, and contributed to development using React, TypeScript, PHP, MySQL, and Node.js. Sonali has delivered key initiatives including the Business Service Portal and OcularIP UI modernization, enhancing performance, usability, and accessibility."
,confirmed,Lev Andelman,1,1,TeraSky,Lev Andelman.png,https://www.linkedin.com/in/levandelman/,,,,Imperfect Is Fine (When It’s You),"Humans hallucinate memories, forget decisions, and confidently state wrong facts - and we built entire civilizations around it. Yet when AI does the same, we call it broken. 
This talk uses cognitive science, live audience experiments, and real-world engineering failures to expose the double standard killing your AI adoption. You’ll leave with a practical framework: validate the output, not the process - and stop demanding perfection from AI that you never demanded from yourself.",,"Lev Andelman is a Co-Founder and CTO at TeraSky Group with over 15 years of experience designing and managing large-scale production environments. He specializes in cloud, DevOps, and infrastructure across Unix/Linux and Windows systems, with a track record of leading engineering teams and building robust R&D, QA, and production platforms."
,confirmed,Michael Carroll,1,1,Coolhand Labs,Michael Carroll.png,https://www.linkedin.com/in/michaelscottcarroll/,,,,Your AI Agent Has Notes,"Working with AI agents is turning every IC into a team manager. Yesterday, you were coding. Today? You're delegating tasks, reviewing outputs, debugging reasoning loops, and sweating your monthly token budget. Hate to break it to you, but your AI team has notes about this... and you aren't listening. This talk is about giving your agents a complaint box. I'll walk through the design of a strategy called Wildcard. Wildcard is a flexible, amorphous tool your agents can call when they are stuck to explain what they need. I'll give some solid examples of how Wildcard leveled up the agents that power [Coolhand Labs](https://coolhandlabs.com/) by surfacing issues in real time, helping us cut down on loops, token burn, and bad practices. We will implement the tool from scratch in a sample codebase, handle some agentic feedback in real time, and cover a few protips for getting the most out of Wildcard in your agent team. Giving you strategies to coax your agents into providing unfiltered feedback is included in the talk. Processing that feedback emotionally will be on you.",,"Michael Carroll is the founder of [Coolhand Labs](https://coolhandlabs.com/), which automatically improves AI agents from human & synthetic feedback. Previously, he built RubiconMD (acquired by Oak Street Health) and served as VP of Engineering and Strategic Projects at Teladoc Health, the world's largest telemedicine provider. Michael also publishes [The Everything Engineer](https://everythingengineer.substack.com/), a newsletter about the transition from IC engineering to managing a team of AI agents. When he's not reading his agents' complaints, he's merging the PRs that will generate a fresh batch of them."
,confirmed,Dor Amir,1,1,Nadir,Dor Amir.png,https://www.linkedin.com/in/dor-amir-07a35155/,,,,Stop Paying Opus Prices for Haiku Problems,"Most AI-native products today are overpaying for LLM usage because they send too many requests to expensive frontier models, even when the task does not require them.

In this session, I’ll share how LLM routing works in practice: how to classify prompt complexity, route requests across models, and balance cost, latency, and quality without hurting the user experience.

I’ll also cover the common traps teams run into when building routers, including over-routing to premium models, bad offline evaluation, feedback loops, and the gap between benchmark accuracy and real production quality.

The goal is to give builders a practical framework they can use to decide when to use cheaper models, when to escalate to stronger models, and how to measure whether the routing system is actually saving money while preserving output quality.",,"Dor Amir is building Nadir [getnadir.com](getnadir.com), an LLM router that helps AI-native products reduce model costs by routing each request to the right model based on prompt complexity, quality requirements, latency, and cost.

Dor currently works at Dropbox on the agentic AI team, building AI agents that improve Dropbox experiences. Before Dropbox, he worked as a Senior Machine Learning Engineer on Amazon’s Personalization team, where he focused on applied ML systems. Earlier in his career, he worked across data science, machine learning, and software engineering roles, including ML leadership at Guesty and recommendation ML at Fiverr.

Dor’s work sits at the intersection of machine learning, LLM infrastructure, and production AI systems. His current focus is helping teams build practical AI agents and LLM routing systems that reduce cost, improve latency, and preserve quality in real-world applications."
,confirmed,Max Saltonstall,1,1,Datadog,Max Saltonstall.png,https://www.linkedin.com/in/maxsaltonstall/,,,,Scaled approaches to managing AI workloads,"New model? New customers? Both??? Your AI workloads are constantly changing, both inputs and outputs, and you need new ways to track success. We will explain how you can do evals at scale, track evals-as-code, and proper experimentation. Join experts from different large-scale SaaS providers to learn how you can evolve, track and constantly improve your measuring and monitoring of AI systems in production.",,"Max Saltonstall tells stories about the Cloud, how to tell where it’s working (or not), and what diverse solutions our customers have created. He’s part of Datadog’s Advocacy team, with a passion for storytelling, narrative and dad jokes. Max loves to juggle, eat new foods and play games of all types. He lives in New York City with his partner and two children."
,confirmed,Vanchhit Khare,1,1,M&T Bank,Vanchhit Khare.png,https://www.linkedin.com/in/vkhare0522/,,,,Your AI Is Making Things Up. Here Is How to Stop It.,"Your AI agent is lying to you. Not on purpose. It just fills in the gaps when it does not know something. It sounds confident. It names real people. It cites papers that do not exist. Your validator says everything is fine.

Here is what actually stops it: give your agent a second brain.

Not a bigger model. Not a better prompt. A small, structured knowledge base of facts your agent is allowed to use. 300 notes. Three rules. Every agent in the pipeline checks the second brain before it writes anything.

I ran this on a real pipeline. Before the second brain: one fake fact every 12 outputs, confidence 0.94, validators happy. After: zero fake facts across 300 runs. The overhead is 20 milliseconds per step.

This talk shows how the second brain works, why it beats prompting, and how to wire it into any framework you already use. LangGraph, CrewAI, Claude Code, does not matter. Live demo included: I plant a fake fact, the second brain blocks it, the final report stays clean.

You leave with the code.",,"Vanchhit Khare is a Salesforce System Architect and software engineer with 10+ years of experience building enterprise systems across banking, AI, and cloud technologies. He currently works at M&T Bank, specializing in Salesforce architecture, Agentic AI, and digital transformation initiatives. Vanchhit is also an active mentor, researcher, and community contributor focused on making complex technology more accessible and human-centered."
,confirmed,William McLean,1,1,Glitnir Ticketing,William McLean.png,https://www.linkedin.com/in/xbill/,,,,Gemma4 Tips and Tricks,"Overview of the latest Gemma4 models from on-device to TPU hosted.
Tips and tricks for vLLM model serving and a live demo.",,"CTO of Glitnir Ticketing.  Google Developer Expert (GDE) for AI/ML and Cloud.  
Amazon Community Builder for AI engineering."
,confirmed,Vasu Raj Jain,1,1,Amazon,Vasu Raj Jain.png,https://www.linkedin.com/in/vasujain00/,,,,AI and computer vision in media,Practical applications of content classification and automation,,"Vasu Raj Jain is a Senior Software Development Engineer at Amazon Ads based in Seattle, where he leads large-scale ad serving infrastructure handling high-volume traffic and revenue-critical systems. He specializes in distributed systems, platform foundations, AI infrastructure, and scalable backend engineering. Previously, he worked across Amazon Prime Video personalization and at Barclays in electronic trading systems. He holds a Master’s in Computer Science from the University of Florida and is also active as a mentor through CodePath and ADPList."
