YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Sunil Gattupalle,1,1,Harness,Sunil Gattupalle.png,https://www.linkedin.com/in/gvsunil/,,,,Keynote: From Data Platform to Agent Platform: Building Structured Intelligence with Knowledge Graphs and MCP,"As AI agents move beyond demos, the real challenge becomes giving them reliable, structured access to enterprise systems. This talk walks through how we evolved a unified data platform into an agent-ready platform using a semantic layer, knowledge graph principles, and MCP-based tool abstractions. We'll cover how structure—not just models—enables reasoning, governance, and cross-system workflows. The focus is on practical design patterns that make agents usable in real production environments.",,"Sunil is an Engineering Architect focused on building production-grade AI and data platforms at scale. With over 20 years of experience across companies like Harness, Traceable AI, Cisco (AppDynamics), Aruba, and Juniper, his work spans distributed systems, knowledge graphs, API security, and real-time analytics. He currently leads enterprise Data and AI Platform initiatives at Harness, including knowledge graph–driven RAG systems and agentic AI workflows. He has contributed to multiple U.S. patents and writes about bridging traditional systems engineering with modern AI architectures."
,confirmed,Lior Schejter,1,1,,Lior Schejter.png,https://www.linkedin.com/in/liors/,,,,MAD About Software Design - When AI Architects Argue,"What if software design debates weren’t between engineers…but between AI agents? We’ll explore the pattern of multi-agent debate, and how it can be applied to software design questions. What’re the challenges, and how can it complement human architectural thinking.",,"A software professional for over 20 years and software enthusiast for over 40 years.
Still curious about how to develop software better, in whatever scale.
And generally curious about how things work in the world."
,confirmed,Marta Gajowa,1,1,Stealth Startup,Marta Gajowa.png,https://www.linkedin.com/in/martagajowa/,,,,Neuroinspired AI: From Analogy to Mechanism,"I will talk about current brain-inspired AI and discuss the actual mechanics behind the ""20W brain"" pitch to move beyond simple inspiration toward systems that deeply mirror biological inner workings. I’ll highlight how modern neurotechnology provides direct access to the biological data that LLM interpretability researchers are currently forced to infer. Finally, I’ll introduce Neuraffica, my project bridging neuroscience and AI to turn these biological ground truths into reality.",,"Marta Gajowa: Experimental and computational neuroscientist on the founder path. Spent 15 years in research, moving from lab to lab — Krakow, Paris, UC Berkeley — building neurotechnology for mapping how signals propagate through neural circuits. Published author in peer-reviewed journals, including Nature Neuroscience and Neuron. Now building Neuraffica, where the goal is simple: stop guessing what makes brains efficient and start measuring it — then transfer those principles to AI. Happy to chat after the talk about why the next AI architectures might come from biology, not benchmarks."
,confirmed,James Duffy,1,1,Lantern,James Duffy.png,https://www.linkedin.com/in/duffy0/,,,,Interviewing Engineers in the Age of AI,"It is time to embrace AI in interviews. We do not need to fear that ‘AI will take our jobs,’ but that ‘people who know how to effectively use AI will take the jobs of those who don’t.’ This shift in perspective must drive a fundamental change in how we interview and assess talent.",,"James Duffy is a cloud and platform engineering leader currently serving as Director of Platform Engineering & Cloud Infrastructure at Lantern. He has led cloud and DevOps teams across high-growth companies, building scalable, secure infrastructure with expertise in Azure and Kubernetes."
,confirmed,Aoi Minamoto,1,1,Aimoji Healthcare,Aoi Minamoto.png,https://www.linkedin.com/in/aoiminamoto/,,,,"From Voice to Cognitive Insights: Building KinaBot, an AI System for Early Cognitive Awareness","Large language models are rapidly transforming how humans interact with machines. Yet most AI systems focus on generating text, rather than understanding the deeper cognitive signals embedded in human communication.
In this talk, Aoi Minamoto introduces KinaBot, an AI system that transforms everyday conversations into measurable cognitive insights. By combining speech processing, natural language analysis, and large language models, KinaBot analyzes conversational patterns such as vocabulary diversity, sentence structure, response latency, and semantic coherence to generate indicators of cognitive trends over time.
Unlike traditional cognitive assessments that rely on clinical tests conducted in controlled environments, KinaBot explores a new paradigm: continuous, natural, and non-invasive cognitive monitoring through daily conversations.
The talk will demonstrate how voice interactions can be converted into structured signals that help individuals, families, and caregivers better understand changes in communication and cognitive patterns.",,"Aoi Minamoto is a data scientist, AI entrepreneur, and founder of AImoji, an AI startup developing human-centered AI systems that transform everyday conversations into meaningful insights. She is the creator of KinaBot, a voice-based AI platform that analyzes conversational language patterns and converts them into structured cognitive indicators using speech analysis, natural language processing, and large language models.
Her work focuses on bridging generative AI, speech intelligence, and human-centered computing, exploring how conversational data can reveal patterns related to cognition, communication, and well-being.
In addition to her startup work, Aoi currently works in advanced manufacturing engineering in the United States, supporting lithium-ion battery production at Toyota Motor North America’s manufacturing facility in North Carolina, where she works with automation systems, industrial data platforms, and manufacturing analytics.
Aoi is an IEEE Senior Member and an active contributor to the global technology community. Her interdisciplinary work connects artificial intelligence, data science, and real-world engineering systems, with the goal of building AI technologies that are both technically robust and socially meaningful."
,confirmed,Radhika Gundavelli,1,1,Rescale,Radhika Gundavelli.png,https://www.linkedin.com/in/radhikagundavelli/,,,,Capacity Planning for LLMs: Sizing and Funding Clusters Before You Know Your Workload,"Sizing infrastructure for LLM workloads is uniquely hard: model architectures shift, training cycles are unpredictable, and inference demand can spike overnight. Yet most capacity decisions are still made by intuition rather than modeling, resulting in either wasteful over-provisioning or painful bottlenecks at the worst moments. This talk offers a structured approach to capacity planning and cost strategy that works even before your workload is fully understood.",,"Radhika Gundavelli is an Engineering and Program Management Leader at Rescale, specializing in multi-cloud HPC and AI infrastructure. Based in the San Francisco Bay Area, she leads customer-facing technical programs focused on capacity planning and scalable compute platforms."
,confirmed,Franck Ardourel,1,1,MIDCAI,Franck Ardourel.png,https://www.linkedin.com/in/franckardourel/,,,,From Dashboards to Agents: Building an AI ROI Strategist with MCP and n8n,"Most organizations still make CX, marketing, and AI investment decisions using static dashboards and backward-looking metrics.
In this session, I’ll show how we transformed a traditional ROI model into an agentic AI “ROI strategist” embedded directly into a startup’s MarTech stack. This system is capable of predicting revenue, net profit, CAC, churn, and customer lifetime value over a three-year horizon in real time.
Starting from a Salesforce + CDP + data warehouse environment, we used n8n as the orchestration layer and Model Context Protocol (MCP) servers as the tool interface to build an LLM-powered agent that:
- Ingests live data from CRM, CDP, and financial systems - Runs forward-looking simulations across best, expected, and worst-case scenarios - Benchmarks performance against industry standards and top competitors - Generates executive-ready financial outputs including ROI, margin, CLV, and churn - Pushes predictions back into the MarTech stack for activation I’ll walk through the actual architecture, including how MCP servers expose data and tools, how the agent loop is designed, and how we made the system reliable through guardrails, evaluation, and cost control.
This is a practical, production-focused session for builders and product leaders who want to move beyond LLM demos and design agentic systems that drive real business outcomes.",,"Franck Ardourel is a Chief AI & CX Officer, Enterprise Growth Architect, and Professor at Santa Clara University.
He specializes in building AI-powered growth systems that connect CX, MarTech, and go-to-market strategy directly to revenue, margin, and enterprise value through his proprietary CX ROI Compass™.
Franck has led large-scale transformations—from growing 24 Hour Fitness from $500M to $2.5B to building AI-driven revenue engines generating millions in measurable ROI. His work focuses on moving agentic AI from experimentation into real-world production systems."
,confirmed,Mamta Krishnia,1,1,Walmart,Mamta Krishnia.png,https://www.linkedin.com/in/mamtakrishnia/,,,,LLM-Driven Auto Replenishment: From Reactive to Predictive Retail,"AI-powered auto-replenishment is shifting retail from reactive transactions to anticipatory, intelligent commerce. At LLMday, we’ll explore how large language models (LLMs), combined with predictive ML systems, are redefining loyalty and customer lifetime value (CLV) in high-frequency retail categories. Modern replenishment engines go beyond fixed subscriptions and rule-based triggers. By integrating cross-channel signals, purchase history, household context, behavioral data, and IoT inputs, AI systems dynamically predict when consumers need essential products—reducing friction, decision fatigue, and “household management anxiety.” Retailers deploying predictive basket models have seen measurable retention gains over traditional loyalty programs, especially in groceries, personal care, and healthcare. This session dives into the technical architecture behind these systems, including sequence models (e.g., RNNs), reinforcement learning for timing optimization, API-first orchestration layers, and the emerging role of LLMs in contextual reasoning, personalization logic, and conversational reorder interfaces. We’ll examine key analytical challenges such as seasonality shifts, life-event detection, sparse data cold starts, and model drift. We’ll also address critical concerns around privacy, bias, autonomy, and federated learning approaches that enhance personalization without centralizing sensitive data.",,"Mamta Krishnia is a seasoned, growth-oriented product leader with over a decade of experience scaling B2C products and multi-tenant platforms that have delivered 10x business growth. She has led transformative zero-to-one and first-to-market solutions across e-commerce, retail technology, and platform innovation in complex, high-impact environments. Currently Group Director of Product Management at Walmart International, Mamta leads a 50-member team across Canada, Mexico, and Chile, owning a 9-figure e-commerce platform spanning discovery, search, personalization, fraud prevention, payments, and promotions. Previously, as Senior Director, she drove innovation across automotive, subscriptions, and pet pharmacy, launching AI-powered capabilities including Part Terminology ID models, frequency-based recommendations, and GenAI-driven service experiences. She played a key role in launching Walmart’s Pet Medication MVP, scaling a $1M/week subscription MVP, and leading omni-channel funnel strategies that improved engagement and lifetime value. Mamta also founded Walmart’s Women in Product ARG, growing it from 0 to 400 members to foster inclusion and leadership development. Earlier, she led a CEO-sponsored e-commerce replatforming that delivered a 22% lift in cross-category customer engagement. She began her career at Slalom, Cognizant, and Amdocs, and holds an MBA from Indiana University’s Kelley School of Business and a degree in Computer Engineering from the University of Mumbai."
,confirmed,Sandhya Subramani,1,1,AWS,Sandhya Subramani.png,https://www.linkedin.com/in/sandhyasubramani/,,,,Towards Self-Evolving Autonomous AI Agents,"What happens when AI agents encounter tasks they cannot solve? Most agents fail because their capabilities are fixed. This talk explores a new approach using only open-source frameworks where agents can now adapt themselves by dynamically generating and integrating new tools at runtime. We will examine the architectural mechanisms that enable this, including how new functionality is validated and incorporated safely during execution. Through a live demo, attendees will see an agent encounter a novel task, build the required capability, and complete the workflow without redeployment. Attendees will additionally gain practical engineering insights into the tradeoffs and design considerations involved in building autonomous agentic systems that evolve beyond their original design.",,"Sandhya Subramani is a Senior Developer Advocate for Generative AI at Amazon Web Services, specializing in applied AI research and production-grade machine learning systems. She previously served as a Lead Applied AI Scientist at a stealth AI startup and as a Data Scientist at Warner Bros. Discovery, where she focused on applied AI/ML research and data-driven product development. Earlier in her career, she worked as an AI Engineer at Fidelity Investments within enterprise cybersecurity. Sandhya’s expertise spans generative AI, NLP, applied machine learning research, and translating advanced AI capabilities into real-world applications."
,confirmed,Elizabeth Fuentes Leone,1,1,AWS,Elizabeth Fuentes Leone.png,https://www.linkedin.com/in/lizfue/,,,,Stop AI Agents from Making Up Facts: Graph-RAG for Reliable Data Retrieval,"Traditional RAG has a fundamental limitation: vector search retrieves text, not structured data. When you need precise answers, LLMs guess aggregations from text chunks
instead of executing calculations. This causes wrong averages, fabricated counts, and approximate results.
Graph-RAG solves this by storing data as entities and relationships, enabling structured queries that execute calculations instead of estimating from text. Join me as I build
a travel agent demo that compares both on 515K hotel reviews proving where RAG fails and how graphs deliver accurate answers.",,"Elizabeth Fuentes Leone is an AWS Developer Advocate at Amazon Web Services with a background in Data Science and a focus on Generative AI. She works with developers and technical communities to help them understand and build with cloud and AI technologies, sharing practical guidance on modern application development and machine learning. Originally from Venezuela and based in the United States, she brings a strong combination of technical expertise and community engagement to help teams adopt and apply AI-driven solutions."
