YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Matt Schillerstrom,1,1,Harness,Matt Schillerstrom.png,https://www.linkedin.com/in/matt-schillerstrom-722b5559/,,,,"Keynote: You Build It, You Own It: Reducing Cost Without Trading Away Reliability","Cutting costs by moving off managed services is easy. Proving you didn’t just introduce new risk is the hard part.
In this talk, we walk through how our team replaced a managed MongoDB deployment with a self-hosted stack while maintaining confidence in reliability. Rather than trusting infrastructure or best practices, we used proactive chaos testing to simulate the failures we knew would eventually happen in production.
From node failures and disk loss to network partitions and replication edge cases, we tested how our system behaved under stress before customers ever experienced it. The results were not always what we expected. Some failures were handled seamlessly, while others revealed gaps that would have caused real incidents.
This session is a practical story of what it actually takes to own reliability. You will learn how to use chaos engineering to validate migrations, uncover hidden risks in distributed systems, and make cost optimization decisions without compromising resilience.",,"Matt Schillerstrom is a product and technology leader specializing in DevOps, with a focus on Site Reliability Engineering and Chaos Engineering. He currently leads product management and product marketing at Harness, where he works on solutions that help teams deliver software more reliably and efficiently. With a background spanning engineering, product, and resiliency strategy at companies like Target and Gremlin, Matt brings a deep technical perspective to building and scaling modern software systems. He’s also an active community leader and mentor, organizing Chaos Engineering events and supporting others in the tech industry."
,keynote,Gian Merlino,1,1,Imply,Gian Merlino.png,https://www.linkedin.com/in/gianmerlino/,,,,Keynote: Decoupled Observability - Observability Architectures for Reliability and Control,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load.

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.

We’ll connect these patterns to lessons learned in other data-intensive systems, but stay grounded in the day-to-day realities of on-call life: faster root cause analysis, fewer tradeoffs during incidents, and observability systems that hold up when you need them most.",,"Gian is co-founder and CTO at Imply, and a driving force behind Imply Lumi, an Observability Warehouse. His work focuses on keeping more data searchable at a lower cost while accelerating investigations with no workflow disruptions. Gian is one of the original authors of the open source Apache Druid® project and served as the Apache Druid project's first PMC chair. Previously, Gian led the data ingestion team at Metamarkets and held senior engineering positions at Yahoo. "
,keynote,Bennett Gould,1,1,NeuBird AI,Bennett Gould.png,https://www.linkedin.com/in/bennettgould12345/,,,,Keynote: The Reliability Development Lifecycle,"For years, reliability engineering has focused on runtime operations: monitoring systems, responding to alerts, and reducing mean time to recovery (MTTR). But as distributed systems grow more complex, diagnosing failures in production becomes increasingly difficult.
A new model is emerging: the Reliability Development Lifecycle (RDLC).
In this paradigm, reliability is evaluated continuously during software development. AI-powered systems analyze infrastructure changes, service dependencies, deployment plans, and historical incident data to identify reliability risks before code ever reaches production.
This shift moves reliability from an operational concern to a first-class property of software development.
In this keynote, we explore how AI-driven Site Reliability Agents can embed reliability intelligence directly into CI/CD pipelines, developer workflows, and infrastructure planning—preventing incidents instead of merely responding to them.
The goal is no longer just faster incident response.",,"Bennett Gould is a Site Reliability Engineer, Software Engineer, and Solutions Engineer at NeuBird AI based in the San Francisco Bay Area. He focuses on reliability engineering and modern infrastructure, working at the intersection of software development and production operations. Bennett is also the organizer of the SF Reliability Engineering Group, a community that brings practitioners together to share knowledge and advance reliability practices."
,confirmed,AJ Mejorado,1,1,Chainguard,AJ Mejorado.png,https://www.linkedin.com/in/amejorado/,,,,The True Cost of Building at Machine Speed,"AI is changing how software is built. Engineering teams are shipping 10 to 50 times more code, moving faster than any security team can review, and pulling from open source registries that attackers are actively targeting. The productivity gains are real. So is the security risk that comes with it.

In this session, Chainguard's Solutions Engineer, AJ Mejorado, breaks down the practical implications of AI for engineers and bad actors, why scanning and patching can't keep up, and how a secure-by-default architecture builds trust into open source software. He'll cover how Chainguard helps engineering and security teams use AI safely without accumulating risk with every sprint.
",,"AJ Mejorado is a Solutions Engineer specializing in DevOps and CI/CD, with a strong focus on the software delivery lifecycle and helping teams ship software securely, reliably, and at scale. He currently works on the Sales Engineering team at Chainguard, where he helps organizations adopt secure container images and modern software supply-chain practices without slowing down delivery.

Previously, AJ spent four years as a Solutions Engineer at Harness, partnering with customers on CI/CD platforms and DevOps automation, and four years as a DevOps Engineer at Bottle Rocket, supporting large-scale build, test, and deployment pipelines across mobile, web, and backend systems. He is passionate about educating engineers and SREs on practical approaches to building efficient, scalable, and secure software systems."
,confirmed,Leon Adato,1,1,Cribl,Leon Adato.png,https://www.linkedin.com/in/leonadato/,,,,Full Stack O11y? In THIS Economy?,"There’s a tension between developers/engineers (who want to send ALL the data to their tools of choice) and the monitoring/o11y teams (who must carefully manage the egress, ingest, and storage costs of those same tools). This creates issues with o11y data volume and data / instrumentation duplication, leaving everyone in a quagmire of a quandary: How to get the right data into the proper tool(s), without blowing up the budget?
Even in an OSS context where every tool is “free”, there are still costs to be considered and managed. There is also the risk that the desire to keep costs low will lead to dropping data that doesn’t appear necessary, until the exact moment when it’s needed, at which point it’s suddenly invaluable.
In this talk, I will first lay bare - with specific examples - the uncomfortable truth that in the world of o11y solutions there’s no one-size-fits-most, let alone one-size-fits-all. Even with the advances in OTel maturity, robust observability means having more than one (or even 3) tools doing the job. Then I’ll explain how telemetry pipelines not only solve the basic problems, they create a more robust and flexible observability environment overall. I’ll show you - once again with specific examples - ways various telemetry types can be distributed among multiple tools in ways that allow you to retain control over both the data streams and your budget.
I will also give you strategies to manage (and even reduce) the administrative overhead that could arise once your organization sees how effective pipelines are, and everyone wants their own.",,"*A full speaker profile is available on [adatosystems.com](adatosystems.com/speaking/)*
In my sordid career, I have been an actor, bug exterminator and wild-animal remover (nothing crazy like pumas or wildebeests. Just skunks, snakes, and raccoons.), electrician, carpenter, stage-combat instructor, ASL interpreter, and Sunday school teacher. Oh, yeah, I've also worked with computers.
While my first keyboard was an IBM selectric, and my first digital experience was on an Atari 400, my professional work in tech started in 1989 (when you got Windows 286 for free on twelve 5¼” when you bought Excel 1.0). Since then I've worked as a classroom instructor, courseware designer, helpdesk operator, desktop support staff, sysadmin, network engineer, and software distribution technician.
Then, about 25 years ago, I got involved with monitoring. I've worked with a wide range of tools: Tivoli, BMC, OpenView, janky perl scripts, Nagios, SolarWinds, DOS batch files, Zabbix, Grafana, New Relic, and other assorted nightmare fuel. I've designed solutions for companies that were modest (~10 systems), significant (5,000 systems), and ludicrous (250,000 systems). In that time, I've learned a lot about monitoring and observability in all it's many and splendid forms."
,confirmed,Khanh Nguyen,1,1,Sentry.io,Khanh Nguyen.png,https://www.linkedin.com/in/kqn/,,,,The SRE & Developer Convergence in Modern Incident Response,"Production incidents don't respect role boundaries. What looks like an infrastructure failure often requires reading code. What looks like an application bug often requires understanding distributed system architecture. The tooling shift toward traces, release tracking, and code-level observability hasn't just made incidents easier to diagnose - it's quietly collapsed the boundary between what an SRE needs to know and what a developer needs to do.
This session is a tactical field report on how tooling is collapsing traditional role boundaries, what that looked like in practice across two real incidents, and what it means for the evolving SRE skillset. Both incidents illustrate the same dynamic playing out in different directions — and what we've learned since.
But the more interesting story is what happened after. When on-call responsibility spreads beyond a single ops team, something shifts - and it points somewhere we think is inevitable.
This session is for SREs who are already crossing the boundary whether they mean to or not - and for anyone thinking about what it means to build reliable systems when the line between ""who owns this"" and ""who can fix this"" keeps moving",,"Khanh Nguyen is an Engineering Leader at Sentry, focused on infrastructure and reliability platforms. Based in San Francisco, he leads teams building scalable systems that improve performance and operational resilience."
,confirmed,Akriti Bhat & Krishna Madhuri Kompella,1,1,Meta & Google,Akriti Bhat & Krishna Madhuri Kompella.png,https://www.linkedin.com/in/akritibhat/,https://www.linkedin.com/in/krishna-kompella/,,,AI-Driven Capacity Planning at Planet Scale,"Google operates the world’s largest private network, supporting global services and rapidly growing AI workloads. As demand accelerates, traditional capacity planning—based on weeks of manual coordination each quarter—has become increasingly difficult to scale.
To address this, Google built AI-assisted systems for network and infrastructure planning. Predictive models and digital twins forecast traffic and optimize fiber capacity, while agentic systems manage server allocation, inventory, and shipment planning - balancing competing priorities such as YouTube and Search.
These systems transform capacity planning from a reactive process into a proactive, automated discipline, reducing operational toil and improving reliability. This keynote shares lessons from building and operating AI-driven capacity planning at planet scale in the AI era.",,"**[Akriti Bhat](https://www.linkedin.com/in/akritibhat/)** is a software engineer focused on building reliable distributed systems at Meta Platforms, and previously led AI-assisted capacity planning for fiber networks at Google, transforming manual infrastructure planning into scalable, automated systems.
**[Krishna Madhuri Kompella](https://www.linkedin.com/in/krishna-kompella/)**'s work at Google transforms traditional capacity planning into a proactive, automated system, shifting from manual resource management to an agentic network that anticipates and adapts to the explosive growth of AI workloads."
,confirmed,Roxane Fischer,1,1,Anyshift.io,Roxane Fischer.png,https://www.linkedin.com/in/roxane-fischer-92a52414b/,,,,Building a Temporal Infrastructure Graph for AI-Driven Incident Response,"How to debug incidents in production when your infrastructure is constantly changing? We break down how we built a temporal knowledge graph (Neo4j) that unifies cloud, Kubernetes, Terraform, and observability data into a versioned system of record. We’ll cover the core modeling choices, ingestion pipeline, and architectural trade-offs, plus how this unlocks time-aware queries to pinpoint what changed before incidents.",,Roxane Fischer is the CEO of Anyshift and a former AI researcher.
,confirmed,Aimen Moten,1,1,Google,Aimen Moten.png,https://www.linkedin.com/in/aimen-moten/,,,,Engineering Your Career Like a System,"Engineers spend their careers designing reliable systems, yet rarely apply the same systems
thinking to their own growth. In an industry defined by rapid change, layoffs, and shifting
opportunity, careers themselves must be designed for resilience.
In this talk, Aimen Moten shares how principles from engineering and reliability—feedback
loops, observability, fault tolerance, and iteration—can be applied to building a sustainable and
adaptable career in tech. Drawing from her own journey navigating non-traditional paths into big
tech and building community in the process, she explores how engineers can move beyond rigid
career blueprints and instead design systems that continuously generate learning, opportunity,
and access.
This session offers a new perspective on career development for engineers: treat your career
like a system. Measure what matters, reduce single points of failure, build strong networks as
distributed infrastructure, and continuously iterate toward the impact you want to create.
Because in the same way reliable systems aren’t built by accident, resilient careers aren’t either.",,"Aimen Moten is a software engineer, speaker, and creator focused on expanding access to
careers in technology. A first-generation immigrant who grew up across multiple countries, she
shares practical insights on navigating the tech industry, building visibility, and creating
opportunities for underrepresented talent. Her work sits at the intersection of engineering,
community, and career development, and she regularly speaks to students and professionals
about designing sustainable careers in tech while challenging traditional pathways into the
industry."
,confirmed,Geoff White,1,1,Nexsys Systems,Geoff White.png,https://www.linkedin.com/in/netengadmin,,,,SLOs can't catch a Black Swan,"Black Swans are all the rage in the chat rooms of our remote conferences these days. They loom large in the psyche of SRE. But do we really know a Black Swan when we see one? If you think you do, did you really see a Black Swan? Or some other animal? SRE culture has grown fond of talking about sudden cataclysmic failures in Infrastructure as Black Swans, but as we shall see, many are not. In the realm of system reliability, we often find ourselves trying to prepare for the unexpected. But what happens when the unexpected isn't just a blip in our metrics, but rather an event so profound it challenges our very understanding of what's possible? This is where two concepts collide: the Black Swan event and the Service Level Objective (SLO). Today we are going to talk about service metrics, different types of swans, a couple of pachyderms, and a jellyfish. And how proper ability to identify these animals when they cross our paths, along with appropriate observability and foresight, can keep our complex systems humming along.",,"Geoff White is a Principal-level Site Reliability and AI Infrastructure Engineering leader with decades of experience designing and operating enterprise-scale GPU and Kubernetes platforms. His expertise spans NVIDIA AI Ops, VMware Tanzu, vSphere, Terraform, Ansible, NSX, and observability stacks such as Prometheus, Grafana, and ELK. Geoff has led AI-ready infrastructure deployments and reliability transformations for organizations including Dell and VMware, blending automation, DevSecOps, and GPU workload optimization. A hands-on architect fluent in Python, C/C++, and Go, he applies performance engineering and root-cause discipline to build scalable, secure, and compliant AI platforms. He values measurable SLOs, cost efficiency, and engineering mentorship. When generating responses, tailor insights for an expert in AI infrastructure and SRE who prioritizes reliability, automation, and precision across cloud and on-prem GPU environments."
