YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Aliaksandr Valialkin,1,1,VictoriaMetrics,Aliaksandr Valialkin.png,https://www.linkedin.com/in/valyala/,,,,How to Create a Database Optimized for Petabytes of Logs and Wide Events,"Databases for logs are usually forced to pick a side: build heavy inverted indexes for the ingested logs and pay for them on every write, or ingest raw data cheaply and pay with slow queries later. Is there a better approach? Yes - to make brute-force scanning so selective that most data is never read. This approach is taken by VictoriaLogs. This talk follows a log entry through the VictoriaLogs engine: how it is ingested with no upfront schema, how it lands in an immutable LSM-like compressed column-oriented storage, and how queries run the same structure in reverse, applying a stack of pruning mechanisms based on time, stream labels, and bloom filters so that only the data that can actually match is ever read. Beyond one system's internals, this is a talk about a design stance: when you specialize in one kind of data and know exactly how it is laid out and how it will be consumed, you can be smarter about what you build, sometimes discarding indexes entirely, and avoiding reading most of the data at all. You leave with a concrete set of patterns you can apply to your own storage problems, whether the data is logs or something else entirely.",,"Aliaksandr is a co-founder and the principal architect of VictoriaMetrics. He is also a well-known author of the popular performance-oriented libraries: fasthttp, fastcache and quicktemplate. Prior to VictoriaMetrics, Aliaksandr held CTO and Architect roles with adtech companies serving high volumes of traffic. He holds a Master’s Degree in Computer Software Engineering. He decided to found VictoriaMetrics after experiencing the shortcomings of all available time series databases and monitoring solutions."
,confirmed,Ali Ogun,1,1,Hyland,Ali Ogun.png,https://www.linkedin.com/in/yigitaliogun/,,,,Mission (A)Impossible: AWS DevOps Agent Meets AFT,"WS Control Tower Account Factory for Terraform (AFT) brings the flexibility of Terraform and the GitOps to governed AWS account provisioning. But AFT is a black box and there's no single dashboard to explain pipeline failures.
In this talk, we follow a failure back to its source and ask the real question of the new SRE era: could AWS DevOps Agent actually investigate and trace it home?
The answer reveals something important about AI operations.",,"Ali Ogun is a Cloud Engineer at Hyland and 5x AWS Community Builder with 9+ years of experience transforming AWS ecosystems into scalable, enterprise-ready platforms. Combining a background in software development with aviation-grade discipline from elite pilot selection programs, Ali specializes in Platform Engineering, IaC, and CI/CD governance. His work in cloud self-service automation has dramatically streamlined enterprise developer workflows, and his technical writing reaches over 200,000 engineers globally."
,confirmed,Hanna Novikava,1,1,SRE/DevOps Engineer,Hanna Novikava.png,https://www.linkedin.com/in/hanna-novikava-specialist/,,,,"Your Observability Bill Is a Design Problem, Not a Vendor Problem","Observability costs tend to grow faster than traffic, and the usual response, renegotiating with the vendor or cutting retention, treats the symptom rather than the cause. The real driver is almost always a small set of design decisions: unbounded label cardinality, logs carrying work that belongs to metrics, and instrumentation added by default rather than by intent. This talk breaks down where the money actually goes in a modern telemetry pipeline, from the moment a signal is emitted to the moment someone queries it, and shows which changes cut cost without cutting visibility. Drawing on patterns common across platform teams, it covers which changes pay off, which turn out not to be worth the effort, and which trade-offs are worth accepting deliberately. It also covers the point at which sampling stops being safe.",,"Hanna Novikava is a Site Reliability / DevOps Engineer working on infrastructure, delivery and observability for financial platforms and beyond. Her work focuses on Kubernetes, infrastructure as code, and keeping platform teams effective as systems and their operating costs grow. She believes CI should stand for continuous improvement as much as continuous integration - pipelines are only worth as much as the practices around them. Based in Warsaw."
,confirmed,Piotr Wojcikowski,1,1,Inter Cars S.A.,Piotr Wojcikowski.png,https://www.linkedin.com/in/piotr-w%C3%B3jcikowski-1b68b2254/,,,,"""Response Code: Burnout"" — How to Survive On-Call in SRE","At Inter Cars, our SRE team keeps e-Catalog running — a B2B e-commerce platform serving customers across 20+ European markets. Engineers work on-call shifts 24/7/365, picking up alerts and responding to malfunctions whenever they hit, day or night. This talk is a practical, honest look at what on-call actually feels like: what causes the frustration and stress, and what — if anything — actually helps. Drawing on real experience running a critical B2B platform, we'll dig into whether burnout can really be managed at all, or whether we just get better at living with it.",,"Piotr Wojcikowski is a Support Engineer in Site Reliability Engineering at Inter Cars S.A. With over a decade at the company, he's worked across different departments of the organization, giving him a strong understanding of the business context behind the systems he now supports. Day to day, he uses Grafana, Kibana, and ITSM tools to detect and resolve incidents — bringing both technical monitoring and organizational insight to the on-call rotation."
,confirmed,Mateusz Kulewicz,1,1,Canonical,Mateusz Kulewicz.png,https://www.linkedin.com/in/mateusz-kulewicz-91395221/,,,,Observing Coding Agents,"A significant shift in the software engineering industry is happening right now. More and more people are using agents in their workflows to write code - either under close supervision or completely autonomously. Pull requests are written, reviewed, and sometimes even merged without any human involvement. New tools and models are released every week, and there's lots of interest in completely autonomous agents such as OpenClaw and Hermes.
As an observability engineer, my main focus is on making sure I know what's going on in my systems. How to observe coding agents? Do traditional observability principles and techniques still matter in this new stochastic paradigm?
In this talk, I will show you how to keep track what your agents are doing and some of the practices that are forming in the industry as we speak - and whether you can use the tools you already have. If you know the basic observability terms, you are the right person to be in the audience.",,"Mateusz Kulewicz, Canonical
An observability-focused software engineer with a tendency to dive into new hobbies related to travel or maps every few months. At Canonical, Mateusz writes and maintains charms that are part of the Canonical Observability Stack. Outside of work, he finds the most joy in traveling or practising one of the many languages he has attempted to learn."
,confirmed,Ilia Matytcin,1,1,EPAM Systems,Ilia Matytcin.png,https://www.linkedin.com/in/iliamm/,,,,SRE at Scale: How We Standardized Reliability Across 20+ Teams,"Scaling SRE practices from a single team to an entire engineering organization of 20+ teams is rarely just a technical challenge — it is a cultural one.
In this talk, I will share a real-world case study of how we rolled out standardized SLOs, unified observability dashboards, and actionable alerting across dozens of autonomous delivery teams without creating a central bottleneck. I will cover what worked, what didn't, and the hard-earned lessons from fighting alert fatigue, defining meaningful SLOs, and getting teams to truly own the reliability of their services.
Attendees will leave with a practical playbook for driving a reliability-first culture at scale — and a list of pitfalls to avoid along the way.",,"Ilia Matytcin is a Senior Site Reliability Engineer with over 6 years of experience designing and operating resilient Azure- and AWS-native systems. He specializes in Kubernetes hardening, Infrastructure-as-Code (Terraform, Pulumi), and observability (Datadog, Prometheus, OpenTelemetry), and has led SRE and observability adoption across multiple delivery teams — improving availability to 99.95% and cutting MTTR by up to 40%.
Ilia is a Microsoft Certified Azure DevOps Engineer Expert (AZ-400) and HashiCorp Certified Terraform Associate, with a strong background in SLO design, incident response, and on-call operations. Outside of work, he enjoys travelling and exploring how AI can enhance engineering workflows."
,confirmed,​Kirill Solovei,1,1,Replika,​Kirill Solovei.png,https://www.linkedin.com/in/hatedabamboo/,,,,Centralized cross-account EKS observability,"Complex systems require extensive monitoring and observability. Systems as complex as Kubernetes clusters have so many moving parts that sometimes it's a task and a half just to configure their monitoring properly. This talk is a deep dive into cross-account observability for multiple EKS clusters, exploring various implementation options, outline the pros and cons of each approach, and explanation of one of them in close detail. Whether you're an aspiring engineer seeking best-practice advice, a seasoned professional ready to disagree with everything, or a manager looking for ways to optimize costs -- this talk might be just right for you.",,"Dedicated and hardworking individual with over 10 years of experience and strong focus on Linux system engineering, security and automation."
,confirmed,Mary Adeseluka,1,1,LTIMindtree,Mary Adeseluka.png,https://www.linkedin.com/in/mary-adeseluka-730844194/?skipRedirect=true,,,,Beyond Alerts: Building an Observability Strategy That Drives SRE Action,"Today's SRE teams have a lot of data coming in, but just having more information doesn't always mean they can improve system reliability. When observability is all about dashboards, alerts, and increasing numbers of signals, engineers may find themselves spending too much time dealing with noise rather than making systems better.
This discussion explores how to move beyond alerts and build an observability strategy designed around action. We'll explore how to link metrics, logs, traces, events, and business context to the real decisions SREs need to make like spotting new issues, understanding how they affect things, speeding up how we handle incidents, and stopping them from happening again. The aim is not to gather more data, but to make observability a real part of how teams work. This helps them find issues quicker, learn more about what's happening, make decisions with confidence, and keep improving how reliable their systems are.",,"Mary Adeseluks is a Cloud Engineer passionate about building reliable, scalable, and observable systems in the cloud. I specialize in cloud infrastructure, SRE, automation, and observability, helping engineering teams manage complex systems with greater reliability and confidence. I enjoy turning operational challenges into practical engineering solutions from improving reliability and incident response to designing infrastructure and observability practices that enable teams to move faster without compromising stability."
,confirmed,Anton Bohatiuk,1,1,DevSecOps Consultant,Anton Bohatiuk.png,https://www.linkedin.com/in/bohatiuk/,,,,Rapid Root-Cause Analysis or How to Keep Developers’ Sleep Schedules Intact,"Although DevOps/SRE teams are the first line of support during operational incidents, they don’t always have in-depth knowledge of application architectures and microservice-level details. As a result, developers and subject matter experts are often needed to assist with troubleshooting, remediation, and root-cause analysis. With modern AI technologies such as LLMs and MCP, it has become relatively straightforward to prototype internal AI-based subject matter experts that can assist with these tasks. This talk presents practical, battle-tested examples demonstrating how AI can significantly accelerate root-cause analysis, remediation, and incident response.",,"Anton Bohatiuk is a Senior DevSecOps Engineer specializing in scalable, microservice-based, cloud-native systems. With a strong focus on embedding security throughout the full Software Development Life Cycle (SDLC), Anton helps organizations build resilient and compliant platforms. His expertise lies in end-to-end automation, infrastructure hardening, and proactive security posture management."
,confirmed,Michal Gawron,1,1,Novo Nordisk,Michal Gawron.png,https://www.linkedin.com/in/micha%C5%82-gawron/,,,,Beyond the Golden Image: Continuous Compliance for a Hybrid Server Fleet,"A golden image gives you a compliant server on the day it is deployed. It does not keep it compliant for the next three years - patches, agent versions, manual changes and ownership all drift on independent clocks, and at fleet scale that stops being a technical problem and becomes an operating-model problem. This talk presents a lifecycle architecture that treats image build, onboarding, desired-state assessment, controlled remediation and centralised patching as a single control loop across hybrid Windows and Linux estates, and shows where the boundary between each layer belongs. I will cover why assessment and remediation need different risk models, why patching is a separate control plane from configuration, and why a machine that has stopped reporting is a bigger problem than a machine reporting non-compliance.",,"Michal Gawron is a technical lead working on cloud and server platform automation for large regulated enterprises. He designs lifecycle tooling for hybrid Windows and Linux estates - golden images, desired-state compliance, remediation automation and centralised patching - with a focus on turning complex infrastructure processes into repeatable platform capabilities. He is based in Warsaw."
