Name,Job,Company,Linkedin,Note,Event,Speaker,Headshot,swag?
Anquida Adams,CEO,ALA Event Planning and Management,https://www.linkedin.com/in/anquida-adams/,"After meeting the SREday team at the Redmond and Seattle conferences, SREday stuck with me. The conversations felt real, the people were thoughtful, and there was a clear focus not just on systems, but on the people behind them. I’ve always been drawn to how things actually work beneath the surface. Over time, that’s led to helping teams build ways of working that feel more human and sustainable, not just efficient on paper. That’s where I see myself contributing here. Reliability isn’t only about tools or uptime, it’s about how people communicate, support each other, and grow together. As an ambassador, I want to help SREday keep that balance strong as it grows.",United States - West,All SREday locations,Anquida Adams.png,Not yet
Kat Gaines,"Senior Manager, Developer Relations",PagerDuty,https://www.linkedin.com/in/katgaines/,"I was glad to be part of starting the PagerDuty and SREday partnership and to support events that stay thoughtful and well scoped. These conferences create space for focused discussions without losing their sense of warmth. Having spoken at many events over the years, it’s been meaningful to watch SREday reach more places around the world. I’m grateful for the care that goes into it and look forward to what comes next.",United States - West,All SREday locations,Kat Gaines.png,Not yet
Matt Schillerstrom,Director Product Management & Marketing,Harness,https://www.linkedin.com/in/matt-schillerstrom-722b5559/,"One of the very first SREday Ambassadors, I helped bring the conference to San Francisco and kick things off on the West Coast. I have been friends with Miko and Mark since way back, so being part of this from the early days felt natural and exciting. I am genuinely happy to help kick off the SREday + Harness partnership and see where this community keeps growing next.",United States - West,All SREday locations,Matt Schillerstrom.png,Yes!
Peter De Tender,Business Program Manager - Lead Technical Trainer,Microsoft,https://www.linkedin.com/in/pdtit/,"I’ve been following the Conf42 and SREday journey for a while, both as a technical trainer and as someone who cares about practical learning platforms. What Mark and Miko build consistently delivers real value, not just content for content’s sake. Helping organize SREday Redmond and Seattle was a natural extension of that, and it reinforced how much thought goes into making these events genuinely useful.",United States - West,All SREday locations,Peter De Tender.png,Not yet
Christopher Tineo,Tech Lead,Kubernetes,https://www.linkedin.com/in/christopher-tineo/,"SREday felt like one of those spaces where you instantly feel like you belong. I got the chance to present, but honestly, some of the best moments were just talking to people in between sessions about what they’re building, what’s breaking, and how they’re figuring it out. A big part of my journey has been about community. From organizing Cloud Native groups to helping new contributors get involved in Kubernetes, I’ve seen how much impact these spaces can have on people’s careers and confidence . Being at SREday reinforced that for me. Now that I’m spending more time in the New York area, I really want to help grow that same kind of energy here. More meetups, more open conversations, more chances for people to step in and contribute. That’s the part I’m most excited about.",United States - East,All SREday locations,Christopher Tineo.png,Not yet
Leon Adato,Principal Technical Marketing Engineer,Cribl,https://www.linkedin.com/in/leonadato/,"I have been following SREday closely for years and have watched it grow from a small, focused event into something with real momentum. I have spoken at most of the locations along the way, which gave me a front row seat to how the conversations and the community keep evolving. I am here because I care about helping the developer community grow in a way that stays practical, curious, and human.",United States - East,All SREday locations,Leon Adato.png,Yes!
Mandi Walls,DevOps Advocate,PagerDuty,https://www.linkedin.com/in/mandiwalls/,"I’ve been following SREday since the early days and have had a front row seat to how it keeps evolving. Helping get the PagerDuty partnership off the ground and speaking at events organized by Miko and Mark since 2021, including conf42, has shown me how intentional this community really is. There’s a clear focus on substance and real conversations. I’m genuinely excited about what’s ahead.",United States - East,All SREday locations,Mandi Walls.png,Yes!
Nishkarsh Raj,Platform Engineering Architect,StatusNeo,https://www.linkedin.com/in/nishkarshraj/,"Presenting at SREday was one of those rare moments where the conversation goes beyond theory and straight into real systems that are actually running at scale. I spoke about platform engineering and cost optimization, and what stood out was how deeply the audience engaged with the practical side of it. These weren’t surface-level questions. People wanted to understand tradeoffs, architecture decisions, and what really works in production. Coming from a background where I’ve built platforms serving thousands of engineers and optimized infrastructure at scale, it was refreshing to be around others solving similar problems in different environments . Since moving to the New York area, I’ve been focusing more on building that same level of technical community locally. SREday showed there’s real demand for high-signal conversations here, and I’m excited to keep contributing to that.",United States - East,All SREday locations,Nishkarsh Raj.png,Not yet
Patricia Lee,Principal Consultant,Leap Trace Consulting LLC,https://www.linkedin.com/in/patriciaminglee/,"I had the chance to attend SREday in NYC in early 2026, and it was such a cool experience. The energy in the room made it clear there’s real potential for growth in the city. I’m excited to support Miko and Mark in fostering the developer community here and helping it thrive.",United States - East,All SREday locations,Patricia Lee.png,Not yet
Ben Pearce,Founder,Elevated You,https://www.linkedin.com/in/benpthoughts/,"I’ve been following DevOps Not Dead and SREday for a while, and I’ve always respected how you’re making conferences feel more human and less performative. After 20 years at Microsoft, I’ve seen how often great technical ideas get lost without the right storytelling, which is why I focus on helping experts communicate with real impact. Joining as an ambassador felt like a natural step, a chance to help make conferences cooler, more honest, and actually useful for the people in the room. I’m excited to be part of something that values both the tech and the humans behind it.",United Kingdom,All SREday locations,Ben Pearce.png,Not yet
Kyle Forster,Founder & CEO,RunWhen,https://www.linkedin.com/in/kyforster/,"What started as RunWhen sponsoring a handful of SREdays quickly grew into a long term partnership, and it’s been genuinely fun to watch SREday expand into multiple cities across Europe and the US while keeping the same thoughtful, practitioner driven feel. I’ve known Mark and Miko for a while, and working with people who truly care about the community they’re building makes this even better. We’re excited to keep tightening the partnership between RunWhen and SREday and to see what this community evolves into next.",United Kingdom,All SREday locations,Kyle Forster.png,Ready
Pawel Hajdan,Startup Mentor,Pygma,https://www.linkedin.com/in/pawelhajdan/,"I love the for-engineers, by-engineers formula. Lots of healthy sharing and learning. Each time I notice new, cool tools; and real conversations among practitioners. The journey continues - SREDay continues to expand, and I continue to champion simplicity in system design, and rational and productive culture. Here's to growth!",United Kingdom,All SREday locations,Pawel Hajdan.png,Ready
Rob Charlwood,CEO,Supercharged Ltd,https://www.linkedin.com/in/robcharlwood/,"I’ve been part of the chaos engineering space for many years, so I’ve seen a lot of different events and communities come and go. SREday London has always stood out to me. I’ve been involved since the early days, and what kept me coming back was the genuine community vibe that Mark and Miko created. It’s the kind of event where the conversations feel real, the learning feels practical, and people actually want to connect with each other. I’m really glad to have been part of the journey so far, and I’m looking forward to seeing where SREday goes next.",United Kingdom,All SREday locations,Rob Charlwood.png,Not yet
Ross Stretton,Client Practice Lead,Venquis,https://www.linkedin.com/in/rossstretton/,"I had the pleasure of meeting Miko and Mark a couple of years ago, and I’ve been genuinely impressed by the work they’ve done to grow and nurture the SRE community in London. Building a strong technical community takes consistency and care, and they’ve shown both.I’m excited to join them on the adventure of growing the British SREday community. Community really does rule, and I’m glad to be part of it.",United Kingdom,All SREday locations,Ross Stretton.png,Ready
Heather Thacker,Developer Advocate,Gatling,https://www.linkedin.com/in/hhthacker/,"I first crossed paths with Mark and at a few European events back in 2025, and the connection felt easy and real from the start. As a developer advocate, I spend a lot of time working with communities, and SREday stands out for how intentional it is. Helping organize SREday Spain feels like contributing to something that respects both people and the work they do.",Spain,All SREday locations,Heather Thacker.png,Ready
Daniel Afonso,Senior Developer Advocate,PagerDuty,https://www.linkedin.com/in/danieljcafonso/,"I met Mark and Miko at SREday London in 2025, which somehow led to us packing out the PagerDuty office in Lisbon not long after. We had so much interest that we sold out very fast, which is a pretty good problem to have. The whole thing was loud, fun, and slightly chaotic in the best way. I’m very curious to see how much bigger SREday gets.",Portugal,All SREday locations,Daniel Afonso.png,Yes!
Jake Page,DevRel,MetalBear,https://www.linkedin.com/in/jake-page-aws/,"I first met the SREday team in Lisbon in 2025 and had an absolute blast speaking at the event. From the moment I arrived, it was clear this community had something special going on. The conversations were thoughtful, the people were welcoming, and there was a lot of creativity in how everyone approached the work we do. I’m really excited to help organize and support the Portuguese SREday community moving forward. If the past events are any indication, we’re going to have a lot of fun building this together.",Portugal,All SREday locations,Jake Page.png,Not yet
Xenda Amici,Community Program Manager,PagerDuty,https://www.linkedin.com/in/xendaamici/,"Helping organize the first SREday Portugal at the PagerDuty office in Lisbon was a great experience. The energy was open, welcoming, and very much driven by the community in the room. It felt like the start of something, and I’m genuinely looking forward to whatever adventures we end up sharing next.",Portugal,All SREday locations,Xenda Amici.png,Not yet
